decision_id,entity_type,entity_id,held_fields,reason
B8W2D0002,Career,C000402,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B8W2D0003,Career,C000403,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B8W2D0004,Career,C000404,end,READY判断内の未確認項目としてVERIFIEDから除外
B8W2D0006,Career,C000405,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B8W2D0007,Career,C000406,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B8W2D0008,Career,C000407,end,READY判断内の未確認項目としてVERIFIEDから除外
B8W2D0010,Career,C000408,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B8W2D0011,Career,C000409,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B8W2D0012,Career,C000410,end,READY判断内の未確認項目としてVERIFIEDから除外
B8W2D0014,Career,C000411,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B8W2D0015,Career,C000412,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B8W2D0016,Career,C000413,end,READY判断内の未確認項目としてVERIFIEDから除外
B8W2D0018,Career,C000414,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B8W2D0019,Career,C000415,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B8W2D0020,Career,C000416,end,READY判断内の未確認項目としてVERIFIEDから除外
B8W2D0022,Career,C000417,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B8W2D0024,Career,C000419,end,READY判断内の未確認項目としてVERIFIEDから除外
