issue_id,person_id,related_id,issue_type,status,description,disposition
B22W1I0001,P000220,C000713,HIGH_SCHOOL_PERIOD,HOLD,松尾河秋の尽誠学園高等学校在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
B22W1I0002,P000220,C000714,UNIVERSITY_PERIOD,HOLD,松尾河秋の大東文化大学在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
B22W1I0003,P000220,P000220,PRO_HISTORY_GAPS,HOLD,松尾河秋は現所属（金沢サムライズ、2026-27〜）以前に愛媛（2023-24）の在籍がB.LEAGUE公式のクラブ所属履歴で確認できるが、今回のWaveでは現所属クラブのみを最小経路として登録し、過去クラブは対象外とした。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
B22W1I0004,P000220,P000220,CAREER_TIMELINE_NOTE,HOLD,松尾河秋のクラブ所属履歴は「2026-27 金沢」「2023-24 愛媛」の2行のみで、2024-25・2025-26の行がない。理由・登録種別は推測で記録しない。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
B22W1I0005,P000221,C000716,HIGH_SCHOOL_PERIOD,HOLD,髙岡圭汰朗の尽誠学園高等学校在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
B22W1I0006,P000221,C000717,UNIVERSITY_PERIOD,HOLD,髙岡圭汰朗の近畿大学在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
B22W1I0007,P000221,P000221,PRO_HISTORY_GAPS,HOLD,髙岡圭汰朗は現所属（東京八王子ビートレインズ、2026-27〜）以前に奈良（2021-22〜2022-23）の在籍がB.LEAGUE公式のクラブ所属履歴で確認できるが、今回のWaveでは現所属クラブのみを最小経路として登録し、過去クラブは対象外とした。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
B22W1I0008,P000221,P000221,CAREER_TIMELINE_NOTE,HOLD,髙岡圭汰朗のクラブ所属履歴は2022-23奈良の次が2026-27八王子で、2023-24〜2025-26の行がない。理由は推測で記録しない。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
B22W1I0009,P000222,C000719,HIGH_SCHOOL_PERIOD,HOLD,上田隼輔の尽誠学園高等学校在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
B22W1I0010,P000222,C000720,UNIVERSITY_PERIOD,HOLD,上田隼輔の京都産業大学在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
B22W1I0011,P000222,P000222,PRO_HISTORY_GAPS,HOLD,上田隼輔は現所属（島根スサノオマジック、2025-26〜）以前に富山（2021-22〜2024-25、4シーズン）の在籍がB.LEAGUE公式のクラブ所属履歴で確認できるが、今回のWaveでは現所属クラブのみを最小経路として登録し、過去クラブは対象外とした。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
B22W1I0012,P000223,C000722,HIGH_SCHOOL_PERIOD,HOLD,笠井康平の尽誠学園高等学校在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
B22W1I0013,P000223,C000723,UNIVERSITY_PERIOD,HOLD,笠井康平の青山学院大学在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
B22W1I0014,P000223,P000223,PRO_HISTORY_GAPS,HOLD,笠井康平は現所属（トライフォース岡山、2026-27〜）以前に福島（2024-25〜2025-26）・奈良（2023-24）・宇都宮（2022-23）・群馬（2020-21〜2021-22）・名古屋D（2018-19〜2019-20）の在籍がB.LEAGUE公式のクラブ所属履歴で確認できるが、今回のWaveでは現所属クラブのみを最小経路として登録し、過去クラブは対象外とした。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
