decision_id,entity_type,entity_id,held_fields,reason
B22W1D0002,Career,C000713,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B22W1D0003,Career,C000714,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B22W1D0004,Career,C000715,end,READY判断内の未確認項目としてVERIFIEDから除外
B22W1D0006,Career,C000716,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B22W1D0007,Career,C000717,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B22W1D0008,Career,C000718,end,READY判断内の未確認項目としてVERIFIEDから除外
B22W1D0010,Career,C000719,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B22W1D0011,Career,C000720,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B22W1D0012,Career,C000721,end,READY判断内の未確認項目としてVERIFIEDから除外
B22W1D0014,Career,C000722,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B22W1D0015,Career,C000723,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B22W1D0016,Career,C000724,end,READY判断内の未確認項目としてVERIFIEDから除外
