career_id,person_id,organization_id,role,start,end
C000475,P000140,ORG000119,Player,,
C000476,P000140,ORG000018,Player,,
C000477,P000140,ORG000143,Player,2024,
C000478,P000141,ORG000119,Player,,
C000479,P000141,ORG000121,Player,,
C000480,P000141,ORG000155,Player,2025,
C000481,P000142,ORG000119,Player,,
C000482,P000142,ORG000186,Player,,
C000483,P000142,ORG000143,Player,2025,
C000484,P000143,ORG000119,Player,,
C000485,P000143,ORG000015,Player,,
C000486,P000143,ORG000110,Player,2021,
C000487,P000144,ORG000119,Player,,
C000488,P000144,ORG000016,Player,,
C000489,P000144,ORG000040,Player,2026,
C000490,P000145,ORG000119,Player,,
C000491,P000145,ORG000187,Player,,
C000492,P000145,ORG000090,Player,2025,
