decision_id,entity_type,entity_id,held_fields,reason
B3D0011,Career,C000046,start|end,CANDIDATEの未確認・矛盾項目として保持
B3D0012,Career,C000213,start|end,CANDIDATEの未確認・矛盾項目として保持
B3D0013,Career,C000047,start|end,CANDIDATEの未確認・矛盾項目として保持
B3D0014,Career,C000214,start|end,CANDIDATEの未確認・矛盾項目として保持
B3D0015,Career,C000048,start|end,CANDIDATEの未確認・矛盾項目として保持
B3D0016,Career,C000049,start|end,CANDIDATEの未確認・矛盾項目として保持
B3D0017,Career,C000215,start|end,CANDIDATEの未確認・矛盾項目として保持
B3D0018,Career,C000050,start|end,CANDIDATEの未確認・矛盾項目として保持
B3D0019,Career,C000216,start|end,CANDIDATEの未確認・矛盾項目として保持
B3D0020,Career,C000051,start|end,CANDIDATEの未確認・矛盾項目として保持
B3D0021,Career,C000217,start|end,CANDIDATEの未確認・矛盾項目として保持
B3D0022,Career,C000052,start|end,CANDIDATEの未確認・矛盾項目として保持
B3D0023,Career,C000218,start|end,CANDIDATEの未確認・矛盾項目として保持
B3D0024,Career,C000010,start|end,CANDIDATEの未確認・矛盾項目として保持
B3D0025,Career,C000031,start|end|grade,CANDIDATEの未確認・矛盾項目として保持
B3D0026,Career,C000014,start|end,CANDIDATEの未確認・矛盾項目として保持
B3D0027,Career,C000030,start|end,CANDIDATEの未確認・矛盾項目として保持
B3D0028,Career,C000033,start|end|Player role,CANDIDATEの未確認・矛盾項目として保持
