decision_id,entity_type,entity_id,held_fields,reason
B9W1D0002,Career,C000440,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B9W1D0003,Career,C000441,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B9W1D0004,Career,C000442,end,READY判断内の未確認項目としてVERIFIEDから除外
B9W1D0006,Career,C000443,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B9W1D0007,Career,C000444,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B9W1D0008,Career,C000445,end,READY判断内の未確認項目としてVERIFIEDから除外
B9W1D0010,Career,C000446,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B9W1D0011,Career,C000447,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B9W1D0012,Career,C000448,end,READY判断内の未確認項目としてVERIFIEDから除外
B9W1D0014,Career,C000449,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B9W1D0015,Career,C000450,end,READY判断内の未確認項目としてVERIFIEDから除外
B9W1D0017,Career,C000451,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B9W1D0018,Career,C000452,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B9W1D0019,Career,C000453,end,READY判断内の未確認項目としてVERIFIEDから除外
B9W1D0021,Career,C000454,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B9W1D0022,Career,C000455,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B9W1D0023,Career,C000456,end,READY判断内の未確認項目としてVERIFIEDから除外
