issue_id,person_id,related_id,issue_type,status,description,next_check
B6W2I0001,P000079,C000278,HIGH_SCHOOL_PERIOD,HOLD,2014年6月時点の福岡第一高校3年を確認したが入学・卒業年月は未確認,公式大会名簿または学校資料で期間を確認
B6W2I0002,P000079,C000279,UNIVERSITY_PERIOD,HOLD,2018年の東海大学4年・公式戦登録を確認したが入学・卒業年月は未確認,年度別JUBFロスターまたは大学公式資料で期間を確認
B6W2I0003,P000079,C000280,PRO_PERIOD,HOLD,立川でのB3公式戦出場は確認したがCareer開始年・終了年は未確認,年度別公式成績と移籍・退団発表を確認
B6W2I0004,P000080,C000281,HIGH_SCHOOL_PERIOD,HOLD,2011年4月時点の福岡第一高校2年を確認したが入学・卒業年月は未確認,公式大会名簿または学校資料で期間を確認
B6W2I0005,P000080,C000282,UNIVERSITY_PERIOD,HOLD,2015年の日本体育大学3年・公式戦登録を確認したが入学・卒業年月は未確認,年度別JUBFロスターまたは大学公式資料で期間を確認
B6W2I0006,P000081,C000284,HIGH_SCHOOL_PERIOD,HOLD,JUBFの出身校欄で福岡第一を確認したが高校の在籍期間は未確認,高校公式大会名簿を確認
B6W2I0007,P000081,C000285,UNIVERSITY_PERIOD,HOLD,2019年の日本体育大学3年を確認したが入学・卒業年月は未確認,年度別JUBFロスターを追加確認
B6W2I0008,P000082,C000287,HIGH_SCHOOL_PERIOD,HOLD,学校公式で卒業生関係を確認したが高校在籍期間は未確認,大会公式ロスターで期間を裏付け
B6W2I0009,P000082,C000288,UNIVERSITY_PERIOD,HOLD,2021年の東海大学4年・公式戦登録を確認したが入学・卒業年月は未確認,年度別JUBFロスターまたは大学公式資料で期間を確認
B6W2I0010,P000082,C000289,CURRENT_STATUS,HOLD,2025-26徳島での出場は確認したが2026-27の契約・所属は未確認,クラブ公式の次季契約情報を確認
