verified_batch,source_id,title,publisher,url,accessed_at
Batch 003,B3S0001,ウインターカップ2021 福岡第一対帝京長岡 ボックススコア,日本バスケットボール協会,https://wintercup2021.japanbasketball.jp/boxscore/?period=18&schedulekey=7425,2026-09-20
Batch 003,B3S0002,第96回天皇杯 福岡第一高校ロスター,日本バスケットボール協会,https://zennihon2020-21.japanbasketball.jp/team/1st/men-fukuoka,2026-09-20
Batch 003,B3S0003,2019年度男子U16日本代表 第1次強化合宿メンバー,日本バスケットボール協会,https://iwate.japanbasketball.jp/manage/wp-content/uploads/2019/04/42d4fca113768eb1273ef8bdba5e06eb.pdf,2026-09-20
Batch 003,B3S0006,第101回天皇杯 日本体育大学ロスター,日本バスケットボール協会,https://zennihon2025-26.japanbasketball.jp/team/fin/m02/,2026-09-20
Batch 003,B3S0007,第77回インカレ 日本体育大学ロスター,全日本大学バスケットボール連盟,https://jubf.jp/game/university-detail/id/5/type/intercollege/y/2025/s/men,2026-09-20
Batch 003,B3S0008,第76回インカレ 青山学院大学ロスター,全日本大学バスケットボール連盟,https://jubf.jp/game/university-detail/id/9/type/intercollege/y/2024/s/men,2026-09-20
Batch 003,B3S0009,第76回インカレ 青山学院大学対天理大学,全日本大学バスケットボール連盟,https://jubf.jp/game/detail/id/1194/type/intercollege/s/men,2026-09-20
Batch 003,B3S0010,第77回インカレ 九州国際大学ロスター,全日本大学バスケットボール連盟,https://jubf.jp/game/university-detail/id/230/type/intercollege/y/2025/s/men,2026-09-20
Batch 003,B3S0011,第74回インカレ 東海大学九州ロスター,全日本大学バスケットボール連盟,https://jubf.jp/game/university-detail/id/12/type/intercollege/y/2022/s/men,2026-09-20
Batch 003,B3S0012,第75回インカレ 東海大学九州ロスター,全日本大学バスケットボール連盟,https://jubf.jp/game/university-detail/id/12/type/intercollege/y/2023/s/men,2026-09-20
Batch 003,B3S0013,第76回インカレ 東海大学九州ロスター,全日本大学バスケットボール連盟,https://jubf.jp/game/university-detail/id/12/type/intercollege/y/2024/s/men,2026-09-20
Batch 003,B3S0014,第77回インカレ 東海大学九州ロスター,全日本大学バスケットボール連盟,https://jubf.jp/game/university-detail/id/12/type/intercollege/y/2025/s/men,2026-09-20
Batch 003,B3S0015,第76回インカレ 山梨学院大学ロスター,全日本大学バスケットボール連盟,https://jubf.jp/game/university-detail/id/204/type/intercollege/y/2024/s/men,2026-09-20
Batch 003,B3S0016,第77回インカレ 山梨学院大学ロスター,全日本大学バスケットボール連盟,https://jubf.jp/game/university-detail/id/204/type/intercollege/y/2025/s/men,2026-09-20
Batch 003,B3S0017,第77回インカレ 山梨学院大学対名古屋学院大学,全日本大学バスケットボール連盟,https://jubf.jp/game/detail/id/1365/type/intercollege/s/men,2026-09-20
Batch 003,B3S0018,第73回インカレ 専修大学ロスター,全日本大学バスケットボール連盟,https://jubf.jp/game/university-detail/id/25/type/intercollege/y/2021/s/men,2026-09-20
Batch 003,B3S0019,第74回インカレ 専修大学ロスター,全日本大学バスケットボール連盟,https://jubf.jp/game/university-detail/id/25/type/intercollege/y/2022/s/men,2026-09-20
Batch 003,B3S0020,第75回インカレ 専修大学ロスター,全日本大学バスケットボール連盟,https://jubf.jp/game/university-detail/id/25/type/intercollege/y/2023/s/men,2026-09-20
Batch 003,B3S0021,第76回インカレ 専修大学ロスター,全日本大学バスケットボール連盟,https://jubf.jp/game/university-detail/id/25/type/intercollege/y/2024/s/men,2026-09-20
Batch 004,B4W1S0001,平成29年度 バスケットボール男子U16日本代表チーム メンバー表,日本バスケットボール協会,https://www.japanbasketball.jp/wp-content/uploads/U16men-member_20180330.pdf,2026-09-20
Batch 004,B4W1S0002,2020年度男子日本代表Bチーム メンバー,日本バスケットボール協会,https://www.japanbasketball.jp/wp-content/uploads/National-B-Team_Men_member_20200806.pdf,2026-09-20
Batch 004,B4W1S0003,河村勇輝 B.LEAGUE公式選手プロフィール,B.LEAGUE,https://www.bleague.jp/roster_detail/?PlayerID=30460,2026-09-20
Batch 004,B4W1S0004,Grizzlies promote Yuki Kawamura to two-way contract,Memphis Grizzlies,https://www.nba.com/grizzlies/news/grizzlies-promote-yuki-kawamura-to-two-way-contract,2026-09-20
Batch 004,B4W1S0009,児玉 ジュニア選手 契約締結（新規）のお知らせ,三遠ネオフェニックス,https://www.neophoenix.jp/news/detail/id=21966,2026-09-20
Batch 004,B4W2S0007,2025-26シーズン 新規リーグエントリー選手のお知らせ,B3リーグ,https://www.b3league.jp/archives/45352,2026-09-20
Batch 004,B4W3S0001,専大スポーツ第559号 2017年度期待のニューパワー,専修大学,https://www.senshu-u.ac.jp/albums/abm.php?d=2115&f=abm00003946.pdf&n=2017%E5%B9%B44%E6%9C%88%E5%8F%B7%EF%BC%88%E7%AC%AC559%E5%8F%B7%EF%BC%8911%E9%9D%A2.pdf,2026-09-20
Batch 004,B4W3S0009,遥天翼氏 2025-26シーズン契約（新規）,熊本ヴォルターズ,https://www.volters.jp/news/detail/id=16536,2026-09-20
Batch 004,B4W4S0001,B.LEAGUE DRAFT 2026 候補選手一覧,B.LEAGUE,https://www.bleague.jp/draft2026/prospects/list/,2026-09-21
