verified_batch,record_id,entity_type,entity_id,field_name,candidate_value,source_id,source_locator,evidence_summary,assessment,checked_at,issue_note
Batch 003,B3E0004,Person,P000029,name,早田 流星,B3S0006,日本体育大学 > No.10,大会公式ロスターの氏名,SUPPORTED,2026-09-20,
Batch 003,B3E0005,Person,P000029,birth_date,2003-07-18,B3S0006,日本体育大学 > No.10 > 生年月日,生年月日を掲載,SUPPORTED,2026-09-20,
Batch 003,B3E0006,Person,P000030,name,鷹野 祐磨,B3S0003,"PDF 1ページ > TAKANO, Yuma",福岡第一高校1年の選手として掲載,SUPPORTED,2026-09-20,
Batch 003,B3E0007,Person,P000030,name_en,Yuma Takano,B3S0003,"PDF 1ページ > TAKANO, Yuma",公式資料の英語表記,SUPPORTED,2026-09-20,
Batch 003,B3E0008,Person,P000030,birth_date,2003-11-28,B3S0003,PDF 1ページ > 生年月日,生年月日を掲載,SUPPORTED,2026-09-20,
Batch 003,B3E0009,Person,P000031,name,星賀 舞也,B3S0008,青山学院大学 ROSTER > No.25,大会公式ロスターの氏名,SUPPORTED,2026-09-20,
Batch 003,B3E0010,Person,P000032,name,岡本 汰稀,B3S0010,九州国際大学 ROSTER > No.23,大会公式ロスターの氏名,SUPPORTED,2026-09-20,
Batch 003,B3E0011,Person,P000033,name,岩下 周介,B3S0011,東海大学九州 ROSTER > No.17,大会公式ロスターの氏名,SUPPORTED,2026-09-20,
Batch 003,B3E0012,Person,P000034,name,カマレ ムレマ フランシス,B3S0016,山梨学院大学 ROSTER > No.70,大会公式ロスターの氏名,SUPPORTED,2026-09-20,
Batch 003,B3E0013,Person,P000010,name,當山 修梧,B3S0018,専修大学 ROSTER > No.3,大会公式ロスターの氏名,SUPPORTED,2026-09-20,
Batch 003,B3E0023,Career,C000047,organization_id,ORG000010,B3S0001,福岡第一高等学校 BOX SCORE > No.10 早田 流星,福岡第一高等学校の登録選手として掲載,SUPPORTED,2026-09-20,
Batch 003,B3E0024,Career,C000047,role,Player,B3S0001,福岡第一高等学校 BOX SCORE > No.10 早田 流星,選手欄に掲載,SUPPORTED,2026-09-20,
Batch 003,B3E0025,Career,C000047,jersey_number,10,B3S0001,福岡第一高等学校 BOX SCORE > No.10 早田 流星,大会登録背番号,SUPPORTED,2026-09-20,
Batch 003,B3E0026,Career,C000047,activity_date,2021-12-28,B3S0001,試合情報 > 試合期日,大会登録を確認した試合日,SUPPORTED,2026-09-20,Career開始日・終了日を意味しない
Batch 003,B3E0027,Career,C000047,competition_participation,12:53,B3S0001,福岡第一高等学校 BOX SCORE > No.10 早田 流星,出場時間12:53を記録,SUPPORTED,2026-09-20,
Batch 003,B3E0028,Career,C000048,organization_id,ORG000010,B3S0001,福岡第一高等学校 BOX SCORE > No.14 鷹野 祐磨,福岡第一高等学校の登録選手として掲載,SUPPORTED,2026-09-20,
Batch 003,B3E0029,Career,C000048,role,Player,B3S0001,福岡第一高等学校 BOX SCORE > No.14 鷹野 祐磨,選手欄に掲載,SUPPORTED,2026-09-20,
Batch 003,B3E0030,Career,C000048,jersey_number,14,B3S0001,福岡第一高等学校 BOX SCORE > No.14 鷹野 祐磨,大会登録背番号,SUPPORTED,2026-09-20,
Batch 003,B3E0031,Career,C000048,activity_date,2021-12-28,B3S0001,試合情報 > 試合期日,大会登録を確認した試合日,SUPPORTED,2026-09-20,Career開始日・終了日を意味しない
Batch 003,B3E0033,Career,C000049,organization_id,ORG000010,B3S0001,福岡第一高等学校 BOX SCORE > No.24 星賀 舞也,福岡第一高等学校の登録選手として掲載,SUPPORTED,2026-09-20,
Batch 003,B3E0034,Career,C000049,role,Player,B3S0001,福岡第一高等学校 BOX SCORE > No.24 星賀 舞也,選手欄に掲載,SUPPORTED,2026-09-20,
Batch 003,B3E0035,Career,C000049,jersey_number,24,B3S0001,福岡第一高等学校 BOX SCORE > No.24 星賀 舞也,大会登録背番号,SUPPORTED,2026-09-20,
