decision_id,entity_type,entity_id,decision,eligible_fields,held_fields,reason,reviewed_at
B8W3D0001,Person,P000121,READY_FOR_VERIFIED_REVIEW,name|birth_date,,B.LEAGUE公式プロフィールで確認,2026-09-24
B8W3D0002,Career,C000420,READY_FOR_VERIFIED_REVIEW,organization_id|role,start|end,Wikipedia・出身校タグ一覧の独立2ソースで確認、在籍期間は未確認,2026-09-24
B8W3D0003,Career,C000421,READY_FOR_VERIFIED_REVIEW,organization_id|role,start|end,Wikipediaのみで確認（本人のB.LEAGUE公式プロフィールには学歴欄なし）、在籍期間は未確認,2026-09-24
B8W3D0004,Career,C000422,READY_FOR_VERIFIED_REVIEW,organization_id|role|start,end,B.LEAGUE公式プロフィールで確認、現在進行中の契約のため終了日は未定,2026-09-24
B8W3D0005,Person,P000122,READY_FOR_VERIFIED_REVIEW,name|birth_date,,B.LEAGUE公式プロフィールで確認,2026-09-24
B8W3D0006,Career,C000423,READY_FOR_VERIFIED_REVIEW,organization_id|role,start|end,B.LEAGUE公式プロフィール・出身校タグ一覧の独立2ソースで確認、在籍期間は未確認,2026-09-24
B8W3D0007,Career,C000424,READY_FOR_VERIFIED_REVIEW,organization_id|role|start,end,B.LEAGUE公式プロフィールで確認、現在進行中の契約のため終了日は未定,2026-09-24
B8W3D0008,Person,P000123,READY_FOR_VERIFIED_REVIEW,name|birth_date,,B.LEAGUE公式プロフィールで確認,2026-09-24
B8W3D0009,Career,C000425,READY_FOR_VERIFIED_REVIEW,organization_id|role,start|end,B.LEAGUE公式プロフィール・出身校タグ一覧の独立2ソースで確認、在籍期間は未確認,2026-09-24
B8W3D0010,Career,C000426,READY_FOR_VERIFIED_REVIEW,organization_id|role,start|end,B.LEAGUE公式プロフィールで確認、在籍期間は未確認,2026-09-24
B8W3D0011,Career,C000427,READY_FOR_VERIFIED_REVIEW,organization_id|role|start,end,B.LEAGUE媒体記事・公式クラブ所属履歴で確認、現在進行中の契約のため終了日は未定,2026-09-24
B8W3D0012,Person,P000124,READY_FOR_VERIFIED_REVIEW,name|birth_date,,B.LEAGUE公式プロフィールで確認,2026-09-24
B8W3D0013,Career,C000428,READY_FOR_VERIFIED_REVIEW,organization_id|role,start|end,B.LEAGUE公式プロフィール・出身校タグ一覧の独立2ソースで確認、在籍期間は未確認,2026-09-24
B8W3D0014,Career,C000429,READY_FOR_VERIFIED_REVIEW,organization_id|role,start|end,B.LEAGUE公式プロフィールで確認、在籍期間は未確認,2026-09-24
B8W3D0015,Career,C000430,READY_FOR_VERIFIED_REVIEW,organization_id|role|start,end,B.LEAGUE公式プロフィールで確認、現在進行中の契約のため終了日は未定,2026-09-24
B8W3D0016,Person,P000125,READY_FOR_VERIFIED_REVIEW,name|birth_date,,B.LEAGUE公式プロフィールで確認,2026-09-24
B8W3D0017,Career,C000431,READY_FOR_VERIFIED_REVIEW,organization_id|role,start|end,出身校タグ一覧で確認（本人プロフィールページの出身校欄は空欄）、在籍期間は未確認,2026-09-24
B8W3D0018,Career,C000432,READY_FOR_VERIFIED_REVIEW,organization_id|role,start|end,報道（Yahoo!ニュース）で確認（本人プロフィールページの出身校欄は空欄）、在籍期間は未確認,2026-09-24
B8W3D0019,Career,C000433,READY_FOR_VERIFIED_REVIEW,organization_id|role|start,end,B.LEAGUE公式プロフィールで確認、現在進行中の契約のため終了日は未定。原契約クラブ・育成契約選手制度の詳細はissueに記録,2026-09-24
B8W3D0020,Person,P000126,READY_FOR_VERIFIED_REVIEW,name|birth_date,,B.LEAGUE公式プロフィールで確認,2026-09-24
B8W3D0021,Career,C000434,READY_FOR_VERIFIED_REVIEW,organization_id|role,start|end,B.LEAGUE公式プロフィール・出身校タグ一覧の独立2ソースで確認、在籍期間は未確認,2026-09-24
B8W3D0022,Career,C000435,READY_FOR_VERIFIED_REVIEW,organization_id|role,start|end,B.LEAGUE公式プロフィールで確認、在籍期間は未確認,2026-09-24
B8W3D0023,Career,C000436,READY_FOR_VERIFIED_REVIEW,organization_id|role|start,end,B.LEAGUE媒体記事・公式クラブ所属履歴で確認、現在進行中の契約のため終了日は未定,2026-09-24
