decision_id,entity_type,entity_id,decision,eligible_fields,held_fields,reason,reviewed_at
B7D0001,Person,P000083,READY_FOR_VERIFIED_REVIEW,name|name_en|birth_date,,B.LEAGUE公式プロフィールで確認,2026-09-23
B7D0002,Career,C000299,HOLD_CANDIDATE,role,organization_id,出身校欄の記載はあるが開志国際高等学校との関係未確認のためHOLD,2026-09-23
B7D0003,Career,C000300,READY_FOR_VERIFIED_REVIEW,organization_id|role,,B.LEAGUE公式のクラブ所属履歴で確認,2026-09-23
B7D0004,Person,P000084,READY_FOR_VERIFIED_REVIEW,name|name_en|birth_date,,B.LEAGUE公式プロフィールで確認,2026-09-23
B7D0005,Career,C000290,READY_FOR_VERIFIED_REVIEW,organization_id|role,start|end,出身校欄で確認、期間は未確認のためHOLD,2026-09-23
B7D0006,Career,C000291,READY_FOR_VERIFIED_REVIEW,organization_id|role,start|end,出身校欄で確認、期間は未確認のためHOLD,2026-09-23
B7D0007,Career,C000292,READY_FOR_VERIFIED_REVIEW,organization_id|role,,B.LEAGUE公式のクラブ所属履歴で確認,2026-09-23
B7D0008,Person,P000085,READY_FOR_VERIFIED_REVIEW,name|name_en|birth_date,,B.LEAGUE公式プロフィールで確認,2026-09-23
B7D0009,Career,C000296,HOLD_CANDIDATE,role|start,end,専門媒体単独の情報かつ卒業年未確認のためHOLD,2026-09-23
B7D0010,Career,C000297,READY_FOR_VERIFIED_REVIEW,organization_id|role,start|end,クラブ公式の出身校欄で確認、期間は未確認のためHOLD,2026-09-23
B7D0011,Career,C000298,READY_FOR_VERIFIED_REVIEW,organization_id|role,,B.LEAGUE公式のクラブ所属履歴で確認,2026-09-23
B7D0012,Person,P000086,READY_FOR_VERIFIED_REVIEW,name|name_en|birth_date,,B.LEAGUE公式プロフィールで確認,2026-09-23
B7D0013,Career,C000293,HOLD_CANDIDATE,role,organization_id|start|end,専門媒体単独の情報のためHOLD,2026-09-23
B7D0014,Career,C000294,READY_FOR_VERIFIED_REVIEW,organization_id|role,start|end,クラブ公式の出身校欄で確認、期間は未確認のためHOLD,2026-09-23
B7D0015,Career,C000295,READY_FOR_VERIFIED_REVIEW,organization_id|role,,B.LEAGUE公式のクラブ所属履歴で確認,2026-09-23
