source_id,title,publisher,url,accessed_at
B4W1S0001,平成29年度 バスケットボール男子U16日本代表チーム メンバー表,日本バスケットボール協会,https://www.japanbasketball.jp/wp-content/uploads/U16men-member_20180330.pdf,2026-09-20
B4W1S0002,2020年度男子日本代表Bチーム メンバー,日本バスケットボール協会,https://www.japanbasketball.jp/wp-content/uploads/National-B-Team_Men_member_20200806.pdf,2026-09-20
B4W1S0003,河村勇輝 B.LEAGUE公式選手プロフィール,B.LEAGUE,https://www.bleague.jp/roster_detail/?PlayerID=30460,2026-09-20
B4W1S0004,Grizzlies promote Yuki Kawamura to two-way contract,Memphis Grizzlies,https://www.nba.com/grizzlies/news/grizzlies-promote-yuki-kawamura-to-two-way-contract,2026-09-20
B4W1S0005,LA Clippers Yuki Kawamura player page,LA Clippers / NBA,https://www.nba.com/clippers/player/1642530/yuki-kawamura,2026-09-20
B4W1S0006,NBA G League Yuki Kawamura player page,NBA G League,https://gleague.nba.com/player/1642530,2026-09-20
B4W1S0007,日本経済大学 2024新人戦ロスター,全日本大学バスケットボール連盟,https://jubf.jp/game/university-detail/id/180/type/rookie/y/2024/s/men,2026-09-20
B4W1S0008,WUBS 2025 日本学生選抜メンバー,全日本大学バスケットボール連盟,https://jubf.jp/index/show-pdf/url/aHR0cHM6Ly9kMmEwdjF4N3F2eGw2Yy5jbG91ZGZyb250Lm5ldC9maWxlcy9zcG9ocF9qdWJmL25ld3MvNjg5MmMzMGU0Y2U3ZS5wZGY%3D,2026-09-20
B4W1S0009,児玉 ジュニア選手 契約締結（新規）のお知らせ,三遠ネオフェニックス,https://www.neophoenix.jp/news/detail/id=21966,2026-09-20
B4W1S0010,児玉ジュニア B.LEAGUE公式選手プロフィール,B.LEAGUE,https://www.bleague.jp/roster_detail/?PlayerID=51000552,2026-09-20
B4W1S0011,児玉 ジュニア選手 契約締結（継続）のお知らせ,三遠ネオフェニックス,https://www.neophoenix.jp/news/detail/id=24999,2026-09-20
B4W1S0012,B.LEAGUE 大阪対三遠 2025年10月5日,B.LEAGUE,https://www.bleague.jp/game_detail/?ScheduleKey=504749&TAB=B,2026-09-20
