issue_id,person_id,related_id,issue_type,status,description,next_check
B21W1I0001,P000209,C000680,HIGH_SCHOOL_PERIOD,HOLD,上澤俊喜の中部大学第一高等学校在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,高校公式・大会公式ロスターでの裏付けを確認
B21W1I0002,P000209,C000681,UNIVERSITY_PERIOD,HOLD,上澤俊喜の日本大学在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,全日本大学バスケットボール連盟（JUBF）の年度別ロスターでの裏付けを確認
B21W1I0003,P000209,P000209,PRO_HISTORY_GAPS,HOLD,上澤俊喜は現所属（広島ドラゴンフライズ、2022-23〜）以前に富山（2020-21〜2021-22、2シーズン）の在籍がB.LEAGUE公式のクラブ所属履歴で確認できるが、今回のWaveでは現所属クラブのみを最小経路として登録し、過去クラブは対象外とした。,後続の深掘りWaveでクラブ別Careerを追加
B21W1I0004,P000210,C000683,HIGH_SCHOOL_PERIOD,HOLD,中村浩陸の中部大学第一高等学校在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,高校公式・大会公式ロスターでの裏付けを確認
B21W1I0005,P000210,C000684,UNIVERSITY_PERIOD,HOLD,中村浩陸の大東文化大学在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,全日本大学バスケットボール連盟（JUBF）の年度別ロスターでの裏付けを確認
B21W1I0006,P000210,P000210,PRO_HISTORY_GAPS,HOLD,中村浩陸は現所属（アルバルク東京、2025-26〜）以前にFE名古屋（2022-23〜2024-25、3シーズン）・大阪（2019-20〜2021-22、3シーズン）の在籍がB.LEAGUE公式のクラブ所属履歴で確認できるが、今回のWaveでは現所属クラブのみを最小経路として登録し、過去クラブは対象外とした。,後続の深掘りWaveでクラブ別Careerを追加
B21W1I0007,P000211,C000686,HIGH_SCHOOL_PERIOD,HOLD,小澤飛悠の中部大学第一高等学校在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,高校公式・大会公式ロスターでの裏付けを確認
B21W1I0008,P000211,C000687,UNIVERSITY_PERIOD,HOLD,小澤飛悠の日本体育大学在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,全日本大学バスケットボール連盟（JUBF）の年度別ロスターでの裏付けを確認
B21W1I0009,P000212,C000689,HIGH_SCHOOL_PERIOD,HOLD,星野京介の中部大学第一高等学校在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,高校公式・大会公式ロスターでの裏付けを確認
B21W1I0010,P000212,C000690,UNIVERSITY_PERIOD,HOLD,星野京介の大東文化大学在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,全日本大学バスケットボール連盟（JUBF）の年度別ロスターでの裏付けを確認
B21W1I0011,P000212,P000212,PRO_HISTORY_GAPS,HOLD,星野京介は現所属（信州ブレイブウォリアーズ、2026-27〜、復帰）以前に北海道（2024-25〜2025-26）・信州（2023-24）・滋賀（2021-22〜2022-23）の在籍がB.LEAGUE公式のクラブ所属履歴で確認できるが、今回のWaveでは現所属クラブのみを最小経路として登録し、過去クラブは対象外とした。,後続の深掘りWaveでクラブ別Careerを追加
