verified_batch,record_id,entity_type,entity_id,field_name,candidate_value,source_id,source_locator,evidence_summary,assessment,checked_at,issue_note
Batch 006 Wave 2,B6W2E0001,Person,P000079,name,秋山 皓太,B6W2S0002,PDF 選手表 > No.28,JBA公式氏名,SUPPORTED,2026-09-22,
Batch 006 Wave 2,B6W2E0002,Person,P000079,name_en,Kota Akiyama,B6W2S0003,選手情報 > 英語表記,B3公式表記,SUPPORTED,2026-09-22,
Batch 006 Wave 2,B6W2E0003,Person,P000079,birth_date,1996-12-29,B6W2S0002,PDF 選手表 > No.28 > 生年月日,JBA公式生年月日,SUPPORTED,2026-09-22,
Batch 006 Wave 2,B6W2E0004,Career,C000278,organization_id,ORG000010,B6W2S0002,PDF 選手表 > No.28 > 所属,福岡第一高校3年として掲載,SUPPORTED,2026-09-22,
Batch 006 Wave 2,B6W2E0005,Career,C000278,role,Player,B6W2S0002,PDF 選手表 > No.28,U18日本代表候補選手として掲載,SUPPORTED,2026-09-22,
Batch 006 Wave 2,B6W2E0006,Career,C000278,activity_date,2014-06-04,B6W2S0002,PDF 注記 > 所属・年齢基準日,高校所属確認日,SUPPORTED,2026-09-22,
Batch 006 Wave 2,B6W2E0007,Career,C000279,organization_id,ORG000015,B6W2S0003,選手情報 > 出身校,東海大学を掲載,SUPPORTED,2026-09-22,
Batch 006 Wave 2,B6W2E0009,Career,C000280,organization_id,ORG000115,B6W2S0003,選手情報 > 立川ダイス,立川ダイス所属,SUPPORTED,2026-09-22,
Batch 006 Wave 2,B6W2E0010,Career,C000280,role,Player,B6W2S0003,PLAYER STATS > 50試合,公式戦出場を確認,SUPPORTED,2026-09-22,
Batch 006 Wave 2,B6W2E0011,Career,C000280,competition_participation,B3公式戦50試合,B6W2S0003,PLAYER STATS,B3公式戦成績,SUPPORTED,2026-09-22,
Batch 006 Wave 2,B6W2E0012,Person,P000080,name,大城 侑朔,B6W2S0005,基本情報 > 選手名,B.LEAGUE公式氏名,SUPPORTED,2026-09-22,
Batch 006 Wave 2,B6W2E0013,Person,P000080,name_en,Yusaku Oshiro,B6W2S0005,基本情報 > 英語表記,B.LEAGUE公式表記,SUPPORTED,2026-09-22,
Batch 006 Wave 2,B6W2E0014,Person,P000080,birth_date,1995-03-01,B6W2S0004,PDF 選手表 > 大城侑朔 > 生年月日,JBA公式生年月日,SUPPORTED,2026-09-22,
Batch 006 Wave 2,B6W2E0015,Career,C000281,organization_id,ORG000010,B6W2S0004,PDF 選手表 > 大城侑朔 > 所属,福岡第一高校2年として掲載,SUPPORTED,2026-09-22,
Batch 006 Wave 2,B6W2E0016,Career,C000281,role,Player,B6W2S0004,PDF 選手表 > 大城侑朔,U16日本代表候補選手として掲載,SUPPORTED,2026-09-22,
Batch 006 Wave 2,B6W2E0017,Career,C000281,activity_date,2011-04-13,B6W2S0004,PDF 注記 > 所属・年齢基準日,高校所属確認日,SUPPORTED,2026-09-22,
Batch 006 Wave 2,B6W2E0018,Career,C000282,organization_id,ORG000020,B6W2S0005,基本情報 > 出身校,日本体育大学を掲載,SUPPORTED,2026-09-22,
Batch 006 Wave 2,B6W2E0020,Career,C000283,organization_id,ORG000111,B6W2S0005,クラブ所属履歴 > 2017-18〜2025-26 八王子,八王子所属を掲載,SUPPORTED,2026-09-22,
Batch 006 Wave 2,B6W2E0021,Career,C000283,role,Player,B6W2S0005,2024-25 B3RS シーズン成績,公式戦出場を確認,SUPPORTED,2026-09-22,
Batch 006 Wave 2,B6W2E0022,Career,C000283,start,2017,B6W2S0005,クラブ所属履歴 > 2017-18 八王子,所属開始年,SUPPORTED,2026-09-22,
Batch 006 Wave 2,B6W2E0023,Career,C000283,end,2026,B6W2S0005,クラブ所属履歴 > 2025-26 八王子,掲載経歴の終了年,SUPPORTED,2026-09-22,
Batch 006 Wave 2,B6W2E0024,Career,C000283,competition_participation,2024-25 B3RS 49試合,B6W2S0005,シーズン成績 > 2024-25,B3公式戦出場,SUPPORTED,2026-09-22,
Batch 006 Wave 2,B6W2E0025,Person,P000081,name,土居 光,B6W2S0007,基本情報 > 選手名,B.LEAGUE公式氏名,SUPPORTED,2026-09-22,
Batch 006 Wave 2,B6W2E0026,Person,P000081,name_en,Hikaru Doi,B6W2S0007,基本情報 > 英語表記,B.LEAGUE公式表記,SUPPORTED,2026-09-22,
Batch 006 Wave 2,B6W2E0027,Person,P000081,birth_date,1998-10-02,B6W2S0007,基本情報 > 生年月日,B.LEAGUE公式生年月日,SUPPORTED,2026-09-22,
Batch 006 Wave 2,B6W2E0028,Career,C000284,organization_id,ORG000010,B6W2S0006,日本体育大学ROSTER > No.24 > 出身校,福岡第一高を掲載,SUPPORTED,2026-09-22,
Batch 006 Wave 2,B6W2E0030,Career,C000285,organization_id,ORG000020,B6W2S0006,日本体育大学ROSTER > No.24,日本体育大学所属,SUPPORTED,2026-09-22,
Batch 006 Wave 2,B6W2E0031,Career,C000285,role,Player,B6W2S0006,ROSTER > No.24 > SF,大学公式大会ロスター,SUPPORTED,2026-09-22,
Batch 006 Wave 2,B6W2E0032,Career,C000285,activity_year,2019,B6W2S0006,第71回インカレROSTER > 3年,2019年の競技登録,SUPPORTED,2026-09-22,
Batch 006 Wave 2,B6W2E0033,Career,C000286,organization_id,ORG000046,B6W2S0007,クラブ所属履歴 > 2025-26 東京Z,東京Z所属,SUPPORTED,2026-09-22,
Batch 006 Wave 2,B6W2E0034,Career,C000286,role,Player,B6W2S0007,2025-26 B3RS シーズン成績,公式戦出場を確認,SUPPORTED,2026-09-22,
Batch 006 Wave 2,B6W2E0035,Career,C000286,start,2025,B6W2S0007,クラブ所属履歴 > 2025-26 東京Z,所属開始年,SUPPORTED,2026-09-22,
Batch 006 Wave 2,B6W2E0036,Career,C000286,end,2026,B6W2S0007,2025-26シーズン終了時,掲載経歴の終了年,SUPPORTED,2026-09-22,
