person_id,name,verified_batch,verified_commit,career_count,evidence_count,hold_issue_count,priority_reason
P000193,伊藤 治輝,Batch 19 Wave 1 (桐光学園高等学校（第2弾 学校1/12）),adf7443,3,6,3,強豪校横展開 第2弾（学校1〜12）：出身校を起点とするCareer
P000194,オドゲレル トルガ,Batch 19 Wave 1 (桐光学園高等学校（第2弾 学校1/12）),adf7443,3,6,2,強豪校横展開 第2弾（学校1〜12）：出身校を起点とするCareer
P000195,小針 幸也,Batch 19 Wave 1 (桐光学園高等学校（第2弾 学校1/12）),adf7443,3,6,3,強豪校横展開 第2弾（学校1〜12）：出身校を起点とするCareer
P000196,喜多川 修平,Batch 19 Wave 1 (桐光学園高等学校（第2弾 学校1/12）),adf7443,3,6,4,強豪校横展開 第2弾（学校1〜12）：出身校を起点とするCareer
P000197,須藤 昂矢,Batch 19 Wave 2 (桐光学園高等学校（第2弾 学校1/12）),adf7443,3,6,3,強豪校横展開 第2弾（学校1〜12）：出身校を起点とするCareer
P000198,兪 龍海,Batch 19 Wave 2 (桐光学園高等学校（第2弾 学校1/12）),adf7443,3,6,4,強豪校横展開 第2弾（学校1〜12）：出身校を起点とするCareer
P000199,植松 義也,Batch 19 Wave 2 (桐光学園高等学校（第2弾 学校1/12）),adf7443,3,6,3,強豪校横展開 第2弾（学校1〜12）：出身校を起点とするCareer
P000200,宮本 一樹,Batch 19 Wave 2 (桐光学園高等学校（第2弾 学校1/12）),adf7443,3,6,3,強豪校横展開 第2弾（学校1〜12）：出身校を起点とするCareer
P000201,平良 彰吾,Batch 20 Wave 1 (船橋市立船橋高等学校（第2弾 学校2/12）),adf7443,3,6,3,強豪校横展開 第2弾（学校1〜12）：出身校を起点とするCareer
P000202,古牧 昌也,Batch 20 Wave 1 (船橋市立船橋高等学校（第2弾 学校2/12）),adf7443,3,6,3,強豪校横展開 第2弾（学校1〜12）：出身校を起点とするCareer
P000203,野﨑 由之,Batch 20 Wave 1 (船橋市立船橋高等学校（第2弾 学校2/12）),adf7443,3,6,2,強豪校横展開 第2弾（学校1〜12）：出身校を起点とするCareer
P000204,赤穂 雷太,Batch 20 Wave 1 (船橋市立船橋高等学校（第2弾 学校2/12）),adf7443,3,6,3,強豪校横展開 第2弾（学校1〜12）：出身校を起点とするCareer
P000205,阿部 諒,Batch 20 Wave 2 (船橋市立船橋高等学校（第2弾 学校2/12）),adf7443,3,6,3,強豪校横展開 第2弾（学校1〜12）：出身校を起点とするCareer
