verified_batch,decision_id,entity_type,entity_id,held_fields,reason
Batch 19 Wave 1 (桐光学園高等学校（第2弾 学校1/12）),B19W1D0002,Career,C000632,start|end,READY判断内の未確認項目としてVERIFIEDから除外
Batch 19 Wave 1 (桐光学園高等学校（第2弾 学校1/12）),B19W1D0003,Career,C000633,start|end,READY判断内の未確認項目としてVERIFIEDから除外
Batch 19 Wave 1 (桐光学園高等学校（第2弾 学校1/12）),B19W1D0004,Career,C000634,end,READY判断内の未確認項目としてVERIFIEDから除外
Batch 19 Wave 1 (桐光学園高等学校（第2弾 学校1/12）),B19W1D0006,Career,C000635,start|end,READY判断内の未確認項目としてVERIFIEDから除外
Batch 19 Wave 1 (桐光学園高等学校（第2弾 学校1/12）),B19W1D0007,Career,C000636,start|end,READY判断内の未確認項目としてVERIFIEDから除外
Batch 19 Wave 1 (桐光学園高等学校（第2弾 学校1/12）),B19W1D0008,Career,C000637,end,READY判断内の未確認項目としてVERIFIEDから除外
Batch 19 Wave 1 (桐光学園高等学校（第2弾 学校1/12）),B19W1D0010,Career,C000638,start|end,READY判断内の未確認項目としてVERIFIEDから除外
Batch 19 Wave 1 (桐光学園高等学校（第2弾 学校1/12）),B19W1D0011,Career,C000639,start|end,READY判断内の未確認項目としてVERIFIEDから除外
Batch 19 Wave 1 (桐光学園高等学校（第2弾 学校1/12）),B19W1D0012,Career,C000640,end,READY判断内の未確認項目としてVERIFIEDから除外
Batch 19 Wave 1 (桐光学園高等学校（第2弾 学校1/12）),B19W1D0014,Career,C000641,start|end,READY判断内の未確認項目としてVERIFIEDから除外
Batch 19 Wave 1 (桐光学園高等学校（第2弾 学校1/12）),B19W1D0015,Career,C000642,start|end,READY判断内の未確認項目としてVERIFIEDから除外
Batch 19 Wave 1 (桐光学園高等学校（第2弾 学校1/12）),B19W1D0016,Career,C000643,end,READY判断内の未確認項目としてVERIFIEDから除外
Batch 19 Wave 2 (桐光学園高等学校（第2弾 学校1/12）),B19W2D0002,Career,C000644,start|end,READY判断内の未確認項目としてVERIFIEDから除外
Batch 19 Wave 2 (桐光学園高等学校（第2弾 学校1/12）),B19W2D0003,Career,C000645,start|end,READY判断内の未確認項目としてVERIFIEDから除外
Batch 19 Wave 2 (桐光学園高等学校（第2弾 学校1/12）),B19W2D0004,Career,C000646,end,READY判断内の未確認項目としてVERIFIEDから除外
Batch 19 Wave 2 (桐光学園高等学校（第2弾 学校1/12）),B19W2D0006,Career,C000647,start|end,READY判断内の未確認項目としてVERIFIEDから除外
Batch 19 Wave 2 (桐光学園高等学校（第2弾 学校1/12）),B19W2D0007,Career,C000648,start|end,READY判断内の未確認項目としてVERIFIEDから除外
Batch 19 Wave 2 (桐光学園高等学校（第2弾 学校1/12）),B19W2D0008,Career,C000649,end,READY判断内の未確認項目としてVERIFIEDから除外
Batch 19 Wave 2 (桐光学園高等学校（第2弾 学校1/12）),B19W2D0010,Career,C000650,start|end,READY判断内の未確認項目としてVERIFIEDから除外
Batch 19 Wave 2 (桐光学園高等学校（第2弾 学校1/12）),B19W2D0011,Career,C000651,start|end,READY判断内の未確認項目としてVERIFIEDから除外
Batch 19 Wave 2 (桐光学園高等学校（第2弾 学校1/12）),B19W2D0012,Career,C000652,end,READY判断内の未確認項目としてVERIFIEDから除外
Batch 19 Wave 2 (桐光学園高等学校（第2弾 学校1/12）),B19W2D0014,Career,C000653,start|end,READY判断内の未確認項目としてVERIFIEDから除外
Batch 19 Wave 2 (桐光学園高等学校（第2弾 学校1/12）),B19W2D0015,Career,C000654,start|end,READY判断内の未確認項目としてVERIFIEDから除外
Batch 19 Wave 2 (桐光学園高等学校（第2弾 学校1/12）),B19W2D0016,Career,C000655,end,READY判断内の未確認項目としてVERIFIEDから除外
Batch 20 Wave 1 (船橋市立船橋高等学校（第2弾 学校2/12）),B20W1D0002,Career,C000656,start|end,READY判断内の未確認項目としてVERIFIEDから除外
Batch 20 Wave 1 (船橋市立船橋高等学校（第2弾 学校2/12）),B20W1D0003,Career,C000657,start|end,READY判断内の未確認項目としてVERIFIEDから除外
Batch 20 Wave 1 (船橋市立船橋高等学校（第2弾 学校2/12）),B20W1D0004,Career,C000658,end,READY判断内の未確認項目としてVERIFIEDから除外
Batch 20 Wave 1 (船橋市立船橋高等学校（第2弾 学校2/12）),B20W1D0006,Career,C000659,start|end,READY判断内の未確認項目としてVERIFIEDから除外
Batch 20 Wave 1 (船橋市立船橋高等学校（第2弾 学校2/12）),B20W1D0007,Career,C000660,start|end,READY判断内の未確認項目としてVERIFIEDから除外
Batch 20 Wave 1 (船橋市立船橋高等学校（第2弾 学校2/12）),B20W1D0008,Career,C000661,end,READY判断内の未確認項目としてVERIFIEDから除外
Batch 20 Wave 1 (船橋市立船橋高等学校（第2弾 学校2/12）),B20W1D0010,Career,C000662,start|end,READY判断内の未確認項目としてVERIFIEDから除外
Batch 20 Wave 1 (船橋市立船橋高等学校（第2弾 学校2/12）),B20W1D0011,Career,C000663,start|end,READY判断内の未確認項目としてVERIFIEDから除外
Batch 20 Wave 1 (船橋市立船橋高等学校（第2弾 学校2/12）),B20W1D0012,Career,C000664,end,READY判断内の未確認項目としてVERIFIEDから除外
