verified_batch,issue_id,person_id,name,related_id,issue_type,description,disposition
Batch 19 Wave 1 (桐光学園高等学校（第2弾 学校1/12）),B19W1I0001,P000193,伊藤 治輝,C000632,HIGH_SCHOOL_PERIOD,伊藤治輝の桐光学園高等学校在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
Batch 19 Wave 1 (桐光学園高等学校（第2弾 学校1/12）),B19W1I0002,P000193,伊藤 治輝,C000633,UNIVERSITY_PERIOD,伊藤治輝の明治大学在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
Batch 19 Wave 1 (桐光学園高等学校（第2弾 学校1/12）),B19W1I0003,P000193,伊藤 治輝,P000193,PRO_HISTORY_GAPS,伊藤治輝は現所属（ファイティングイーグルス名古屋、2025-26〜）以前に金沢（2024-25、1シーズン。クラブ正式名は所属履歴上の略称のみで未確認）の在籍がB.LEAGUE公式のクラブ所属履歴で確認できるが、今回のWaveでは現所属クラブのみを最小経路として登録し、過去クラブは対象外とした。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
Batch 19 Wave 1 (桐光学園高等学校（第2弾 学校1/12）),B19W1I0004,P000194,オドゲレル トルガ,C000635,HIGH_SCHOOL_PERIOD,オドゲレルトルガの桐光学園高等学校在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
Batch 19 Wave 1 (桐光学園高等学校（第2弾 学校1/12）),B19W1I0005,P000194,オドゲレル トルガ,C000636,UNIVERSITY_PERIOD,オドゲレルトルガの青山学院大学在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
Batch 19 Wave 1 (桐光学園高等学校（第2弾 学校1/12）),B19W1I0006,P000195,小針 幸也,C000638,HIGH_SCHOOL_PERIOD,小針幸也の桐光学園高等学校在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
Batch 19 Wave 1 (桐光学園高等学校（第2弾 学校1/12）),B19W1I0007,P000195,小針 幸也,C000639,UNIVERSITY_PERIOD,小針幸也の神奈川大学在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
Batch 19 Wave 1 (桐光学園高等学校（第2弾 学校1/12）),B19W1I0008,P000195,小針 幸也,P000195,PRO_HISTORY_GAPS,小針幸也は現所属（琉球ゴールデンキングス、2025-26〜）以前に川崎（2024-25、1シーズン）・長崎（2022-23〜2023-24、2シーズン）の在籍がB.LEAGUE公式のクラブ所属履歴で確認できるが、今回のWaveでは現所属クラブのみを最小経路として登録し、過去クラブは対象外とした。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
Batch 19 Wave 1 (桐光学園高等学校（第2弾 学校1/12）),B19W1I0009,P000196,喜多川 修平,C000641,HIGH_SCHOOL_PERIOD,喜多川修平の桐光学園高等学校在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
Batch 19 Wave 1 (桐光学園高等学校（第2弾 学校1/12）),B19W1I0010,P000196,喜多川 修平,C000642,UNIVERSITY_PERIOD,喜多川修平の専修大学在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
