verified_batches,organization_id,name
Batch 19 Wave 1 (桐光学園高等学校（第2弾 学校1/12）)|Batch 19 Wave 2 (桐光学園高等学校（第2弾 学校1/12）),ORG000123,桐光学園高校
Batch 19 Wave 1 (桐光学園高等学校（第2弾 学校1/12）)|Batch 19 Wave 2 (桐光学園高等学校（第2弾 学校1/12）)|Batch 24 Wave 1 (正智深谷高等学校（第2弾 学校6/12）),ORG000124,明治大学
Batch 19 Wave 1 (桐光学園高等学校（第2弾 学校1/12）)|Batch 28 Wave 1 (報徳学園高等学校（第2弾 学校10/12）),ORG000180,ファイティングイーグルス名古屋
Batch 19 Wave 1 (桐光学園高等学校（第2弾 学校1/12）)|Batch 20 Wave 1 (船橋市立船橋高等学校（第2弾 学校2/12）)|Batch 21 Wave 2 (中部大学第一高等学校（第2弾 学校3/12）)|Batch 22 Wave 1 (尽誠学園高等学校（第2弾 学校4/12）)|Batch 23 Wave 1 (前橋育英高等学校（第2弾 学校5/12）),ORG000030,青山学院大学
Batch 19 Wave 1 (桐光学園高等学校（第2弾 学校1/12）),ORG000090,横浜エクセレンス
Batch 19 Wave 1 (桐光学園高等学校（第2弾 学校1/12）),ORG000210,神奈川大学
Batch 19 Wave 1 (桐光学園高等学校（第2弾 学校1/12）),ORG000106,琉球ゴールデンキングス
Batch 19 Wave 1 (桐光学園高等学校（第2弾 学校1/12）)|Batch 20 Wave 1 (船橋市立船橋高等学校（第2弾 学校2/12）)|Batch 20 Wave 2 (船橋市立船橋高等学校（第2弾 学校2/12）)|Batch 21 Wave 2 (中部大学第一高等学校（第2弾 学校3/12）)|Batch 27 Wave 1 (秋田県立能代工業高等学校（第2弾 学校9/12）)|Batch 30 Wave 1 (近畿大学附属高等学校（第2弾 学校12/12）),ORG000018,専修大学
Batch 19 Wave 1 (桐光学園高等学校（第2弾 学校1/12）),ORG000190,越谷アルファーズ
Batch 19 Wave 2 (桐光学園高等学校（第2弾 学校1/12）),ORG000055,横浜ビー・コルセアーズ
Batch 19 Wave 2 (桐光学園高等学校（第2弾 学校1/12）),ORG000136,早稲田大学
Batch 19 Wave 2 (桐光学園高等学校（第2弾 学校1/12）),ORG000097,三遠ネオフェニックス
Batch 19 Wave 2 (桐光学園高等学校（第2弾 学校1/12）)|Batch 21 Wave 2 (中部大学第一高等学校（第2弾 学校3/12）),ORG000142,大阪エヴェッサ
Batch 19 Wave 2 (桐光学園高等学校（第2弾 学校1/12）)|Batch 20 Wave 1 (船橋市立船橋高等学校（第2弾 学校2/12）)|Batch 20 Wave 2 (船橋市立船橋高等学校（第2弾 学校2/12）)|Batch 21 Wave 2 (中部大学第一高等学校（第2弾 学校3/12）)|Batch 27 Wave 1 (秋田県立能代工業高等学校（第2弾 学校9/12）),ORG000149,富山グラウジーズ
Batch 20 Wave 1 (船橋市立船橋高等学校（第2弾 学校2/12）)|Batch 20 Wave 2 (船橋市立船橋高等学校（第2弾 学校2/12）),ORG000211,船橋市立船橋高等学校
Batch 20 Wave 1 (船橋市立船橋高等学校（第2弾 学校2/12）)|Batch 20 Wave 2 (船橋市立船橋高等学校（第2弾 学校2/12）)|Batch 21 Wave 3 (中部大学第一高等学校（第2弾 学校3/12）),ORG000031,拓殖大学
Batch 20 Wave 1 (船橋市立船橋高等学校（第2弾 学校2/12）),ORG000130,シーホース三河
Batch 20 Wave 1 (船橋市立船橋高等学校（第2弾 学校2/12）)|Batch 21 Wave 1 (中部大学第一高等学校（第2弾 学校3/12）),ORG000121,日本大学
