decision_id,entity_type,entity_id,held_fields,reason
B8W1D0002,Career,C000390,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B8W1D0003,Career,C000391,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B8W1D0004,Career,C000392,end,READY判断内の未確認項目としてVERIFIEDから除外
B8W1D0006,Career,C000393,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B8W1D0007,Career,C000394,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B8W1D0008,Career,C000395,end,READY判断内の未確認項目としてVERIFIEDから除外
B8W1D0010,Career,C000396,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B8W1D0011,Career,C000397,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B8W1D0012,Career,C000398,end,READY判断内の未確認項目としてVERIFIEDから除外
B8W1D0014,Career,C000399,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B8W1D0015,Career,C000400,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B8W1D0016,Career,C000401,end,READY判断内の未確認項目としてVERIFIEDから除外
