career_id,person_id,organization_id,role,start,end
C000046,P000028,ORG000010,Player,,
C000213,P000028,ORG000093,Player,,
C000047,P000029,ORG000010,Player,,
C000214,P000029,ORG000020,Player,,
C000048,P000030,ORG000010,Player,,
C000049,P000031,ORG000010,Player,,
C000215,P000031,ORG000030,Player,,
C000050,P000032,ORG000010,Player,,
C000216,P000032,ORG000094,Player,,
C000051,P000033,ORG000010,Player,,
C000217,P000033,ORG000095,Player,,
C000052,P000034,ORG000010,Player,,
C000218,P000034,ORG000096,Player,,
C000010,P000010,ORG000010,Player,,
C000031,P000010,ORG000018,Player,,
C000014,P000014,ORG000010,Player,,
C000030,P000014,ORG000017,Player,,
C000033,P000016,ORG000020,Student Coach,,
