issue_id,person_id,related_id,issue_type,status,description,disposition
B19W2I0001,P000197,C000644,HIGH_SCHOOL_PERIOD,HOLD,須藤昂矢の桐光学園高等学校在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
B19W2I0002,P000197,C000645,UNIVERSITY_PERIOD,HOLD,須藤昂矢の明治大学在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
B19W2I0003,P000197,P000197,PRO_HISTORY_GAPS,HOLD,須藤昂矢は現所属（横浜ビー・コルセアーズ、2020-21〜）以前に西宮（2019-20、1シーズン）の在籍がB.LEAGUE公式のクラブ所属履歴で確認できるが、今回のWaveでは現所属クラブのみを最小経路として登録し、過去クラブは対象外とした。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
B19W2I0004,P000198,C000647,HIGH_SCHOOL_PERIOD,HOLD,兪龍海の桐光学園高等学校在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
B19W2I0005,P000198,C000648,UNIVERSITY_PERIOD,HOLD,兪龍海の早稲田大学在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
B19W2I0006,P000198,P000198,PRO_HISTORY_GAPS,HOLD,兪龍海は現所属（三遠ネオフェニックス、2026-27〜、復帰）以前に横浜BC（2025-26）・三遠（2023-24〜2024-25、および2020-21）の在籍がB.LEAGUE公式のクラブ所属履歴で確認できるが、今回のWaveでは現所属クラブのみを最小経路として登録し、過去クラブは対象外とした。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
B19W2I0007,P000198,P000198,CAREER_TIMELINE_NOTE,HOLD,兪龍海のクラブ所属履歴は2020-21三遠の次が2023-24三遠で、2021-22・2022-23の行がない。大学在学中の登録（特別指定選手等）の可能性があるが、公式資料で種別を確認していないため推測で記録しない。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
B19W2I0008,P000199,C000650,HIGH_SCHOOL_PERIOD,HOLD,植松義也の桐光学園高等学校在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
B19W2I0009,P000199,C000651,UNIVERSITY_PERIOD,HOLD,植松義也の明治大学在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
B19W2I0010,P000199,P000199,PRO_HISTORY_GAPS,HOLD,植松義也は現所属（大阪エヴェッサ、2025-26〜）以前に琉球（2022-23〜2024-25、3シーズン）・福岡（2020-21〜2021-22、2シーズン）の在籍がB.LEAGUE公式のクラブ所属履歴で確認できるが、今回のWaveでは現所属クラブのみを最小経路として登録し、過去クラブは対象外とした。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
B19W2I0011,P000200,C000653,HIGH_SCHOOL_PERIOD,HOLD,宮本一樹の桐光学園高等学校在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
B19W2I0012,P000200,C000654,UNIVERSITY_PERIOD,HOLD,宮本一樹の早稲田大学在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
B19W2I0013,P000200,P000200,PRO_HISTORY_GAPS,HOLD,宮本一樹は現所属（富山グラウジーズ、2025-26〜）以前に滋賀（2023-24〜2024-25、2シーズン）・FE名古屋（2021-22〜2022-23、2シーズン）の在籍がB.LEAGUE公式のクラブ所属履歴で確認できるが、今回のWaveでは現所属クラブのみを最小経路として登録し、過去クラブは対象外とした。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
