decision_id,entity_type,entity_id,held_fields,reason
B10W2D0002,Career,C000475,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B10W2D0003,Career,C000476,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B10W2D0004,Career,C000477,end,READY判断内の未確認項目としてVERIFIEDから除外
B10W2D0006,Career,C000478,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B10W2D0007,Career,C000479,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B10W2D0008,Career,C000480,end,READY判断内の未確認項目としてVERIFIEDから除外
B10W2D0010,Career,C000481,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B10W2D0011,Career,C000482,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B10W2D0012,Career,C000483,end,READY判断内の未確認項目としてVERIFIEDから除外
B10W2D0014,Career,C000484,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B10W2D0015,Career,C000485,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B10W2D0016,Career,C000486,end,READY判断内の未確認項目としてVERIFIEDから除外
B10W2D0018,Career,C000487,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B10W2D0019,Career,C000488,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B10W2D0020,Career,C000489,end,READY判断内の未確認項目としてVERIFIEDから除外
B10W2D0022,Career,C000490,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B10W2D0023,Career,C000491,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B10W2D0024,Career,C000492,end,READY判断内の未確認項目としてVERIFIEDから除外
