decision_id,entity_type,entity_id,held_fields,reason
B10W3D0002,Career,C000493,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B10W3D0003,Career,C000494,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B10W3D0004,Career,C000495,end,READY判断内の未確認項目としてVERIFIEDから除外
B10W3D0006,Career,C000496,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B10W3D0007,Career,C000497,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B10W3D0008,Career,C000498,end,READY判断内の未確認項目としてVERIFIEDから除外
B10W3D0010,Career,C000499,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B10W3D0011,Career,C000500,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B10W3D0012,Career,C000501,end,READY判断内の未確認項目としてVERIFIEDから除外
B10W3D0014,Career,C000502,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B10W3D0015,Career,C000503,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B10W3D0016,Career,C000504,end,READY判断内の未確認項目としてVERIFIEDから除外
B10W3D0018,Career,C000505,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B10W3D0019,Career,C000506,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B10W3D0020,Career,C000507,end,READY判断内の未確認項目としてVERIFIEDから除外
B10W3D0022,Career,C000508,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B10W3D0023,Career,C000509,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B10W3D0024,Career,C000510,end,READY判断内の未確認項目としてVERIFIEDから除外
