verified_batch,organization_id,name
Batch 003,ORG000010,福岡第一高等学校
Batch 003,ORG000017,日本経済大学
Batch 004,ORG000010,福岡第一高等学校
Batch 004,ORG000015,東海大学
Batch 004,ORG000017,日本経済大学
Batch 004,ORG000018,専修大学
Batch 004,ORG000040,ライジングゼファー福岡
Batch 004,ORG000050,ウォルガ湘南
Batch 004,ORG000052,新潟アルビレックスBB
Batch 004,ORG000054,名古屋ダイヤモンドドルフィンズ
Batch 004,ORG000067,熊本ヴォルターズ
Batch 004,ORG000090,横浜エクセレンス
Batch 004,ORG000097,三遠ネオフェニックス
Batch 004,ORG000100,山口パッツファイブ
Batch 004,ORG000101,鹿児島レブナイズ
Batch 004,ORG000102,東京サンレーヴス
Batch 004,ORG000103,茨城ロボッツ
Batch 004,ORG000104,三菱電機ダイヤモンドドルフィンズ
Batch 004,ORG000105,新潟経営大学
