verified_batch,record_id,entity_type,entity_id,field_name,candidate_value,source_id,source_locator,evidence_summary,assessment,checked_at,issue_note
Batch 003,B3E0014,Person,P000014,name,キエキエ トピー アリ,B3S0022,選手プロフィール > 選手名,B.LEAGUE公式プロフィールの氏名,SUPPORTED,2026-09-20,
Batch 003,B3E0015,Person,P000014,name_en,Topy Ali Kiekie,B3S0022,選手プロフィール > 英語表記,B.LEAGUE公式プロフィールの英語表記,SUPPORTED,2026-09-20,
Batch 003,B3E0016,Person,P000014,birth_date,2003-03-23,B3S0022,選手プロフィール > 生年月日,生年月日を掲載,SUPPORTED,2026-09-20,
Batch 003,B3E0073,Career,C000014,organization_id,ORG000010,B3S0002,福岡第一高校 > プレイヤー > No.65 キエキエトピー アリ,福岡第一高校の公式ロスターに掲載,SUPPORTED,2026-09-20,
Batch 003,B3E0074,Career,C000014,role,Player,B3S0002,福岡第一高校 > プレイヤー > No.65 キエキエトピー アリ,選手として掲載,SUPPORTED,2026-09-20,
Batch 003,B3E0075,Career,C000014,jersey_number,65,B3S0002,福岡第一高校 > プレイヤー > No.65 キエキエトピー アリ,2020年大会の登録背番号,SUPPORTED,2026-09-20,
Batch 003,B3E0076,Career,C000014,height_cm,200,B3S0002,福岡第一高校 > プレイヤー > No.65 キエキエトピー アリ,2020年大会の登録身長,SUPPORTED,2026-09-20,
Batch 003,B3E0077,Career,C000014,activity_date,2020-11-28,B3S0002,福岡第一高校 > プレイヤー > No.65 キエキエトピー アリ,第96回天皇杯1次ラウンド登録,SUPPORTED,2026-09-20,Career開始日・終了日を意味しない
Batch 003,B3E0166,Career,C000030,organization_id,ORG000017,B3S0023,日本経済大学 ROSTER > No.3,大学公式大会ロスターに掲載,SUPPORTED,2026-09-20,
Batch 003,B3E0167,Career,C000030,role,Player,B3S0023,日本経済大学 ROSTER > No.3,登録選手として掲載,SUPPORTED,2026-09-20,
Batch 003,B3E0168,Career,C000030,grade,2年,B3S0023,日本経済大学 ROSTER > No.3,2022年大会の学年,SUPPORTED,2026-09-20,
Batch 003,B3E0169,Career,C000030,position,C,B3S0023,日本経済大学 ROSTER > No.3,2022年大会の登録ポジション,SUPPORTED,2026-09-20,
Batch 003,B3E0170,Career,C000030,height_cm,203,B3S0023,日本経済大学 ROSTER > No.3,2022年大会の登録身長,SUPPORTED,2026-09-20,
Batch 003,B3E0171,Career,C000030,activity_year,2022,B3S0023,日本経済大学 ROSTER > No.3,2022年大会の登録,SUPPORTED,2026-09-20,在籍開始・終了年月は直接示さない
Batch 003,B3E0172,Career,C000030,jersey_number,3,B3S0023,日本経済大学 ROSTER > No.3,2022年大会の登録背番号,SUPPORTED,2026-09-20,
