career_id,person_id,organization_id,role,start,end
C000493,P000146,ORG000119,Player,,
C000494,P000146,ORG000188,Player,,
C000495,P000146,ORG000190,Player,2025,
C000496,P000147,ORG000119,Player,,
C000497,P000147,ORG000015,Player,,
C000498,P000147,ORG000110,Player,2025,
C000499,P000148,ORG000119,Player,,
C000500,P000148,ORG000015,Player,,
C000501,P000148,ORG000097,Player,2024,
C000502,P000149,ORG000119,Player,,
C000503,P000149,ORG000166,Player,,
C000504,P000149,ORG000047,Player,2022,
C000505,P000150,ORG000119,Player,,
C000506,P000150,ORG000030,Player,,
C000507,P000150,ORG000040,Player,2026,
C000508,P000151,ORG000119,Player,,
C000509,P000151,ORG000185,Player,,
C000510,P000151,ORG000050,Player,2026,
