issue_id,person_id,related_id,issue_type,status,description,next_check
B21W2I0001,P000213,C000692,HIGH_SCHOOL_PERIOD,HOLD,坂本聖芽の中部大学第一高等学校在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,高校公式・大会公式ロスターでの裏付けを確認
B21W2I0002,P000213,C000693,UNIVERSITY_PERIOD,HOLD,坂本聖芽の東海大学在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,全日本大学バスケットボール連盟（JUBF）の年度別ロスターでの裏付けを確認
B21W2I0003,P000213,P000213,PRO_HISTORY_GAPS,HOLD,坂本聖芽は現所属（大阪エヴェッサ、2025-26〜）以前に名古屋D（2020-21〜2024-25、5シーズン）の在籍がB.LEAGUE公式のクラブ所属履歴で確認できるが、今回のWaveでは現所属クラブのみを最小経路として登録し、過去クラブは対象外とした。,後続の深掘りWaveでクラブ別Careerを追加
B21W2I0004,P000214,C000695,HIGH_SCHOOL_PERIOD,HOLD,宇都直輝の中部大学第一高等学校在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,高校公式・大会公式ロスターでの裏付けを確認
B21W2I0005,P000214,C000696,UNIVERSITY_PERIOD,HOLD,宇都直輝の専修大学在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,全日本大学バスケットボール連盟（JUBF）の年度別ロスターでの裏付けを確認
B21W2I0006,P000214,P000214,PRO_HISTORY_GAPS,HOLD,宇都直輝は現所属（富山グラウジーズ、2023-24〜、復帰）以前に奈良（2022-23）・富山（2016-17〜2021-22）の在籍がB.LEAGUE公式のクラブ所属履歴で確認できるが、今回のWaveでは現所属クラブのみを最小経路として登録し、過去クラブは対象外とした。,後続の深掘りWaveでクラブ別Careerを追加
B21W2I0007,P000214,P000214,PRE_BLEAGUE_HISTORY,HOLD,宇都直輝のB.LEAGUE公式クラブ所属履歴は2016-17シーズン（B.LEAGUE開幕）以降のみ掲載されている。それ以前の経歴は公式資料で未確認のため記録していない。,深掘りWaveでNBL等の当時の公式資料・クラブ公式発表を確認
B21W2I0008,P000215,C000698,HIGH_SCHOOL_PERIOD,HOLD,張本天傑の中部大学第一高等学校在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,高校公式・大会公式ロスターでの裏付けを確認
B21W2I0009,P000215,C000699,UNIVERSITY_PERIOD,HOLD,張本天傑の青山学院大学在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,全日本大学バスケットボール連盟（JUBF）の年度別ロスターでの裏付けを確認
B21W2I0010,P000215,P000215,PRE_BLEAGUE_HISTORY,HOLD,張本天傑のB.LEAGUE公式クラブ所属履歴は2016-17シーズン（B.LEAGUE開幕）以降のみ掲載されている。B.LEAGUE開幕前に同クラブ（当時の名称は別途確認が必要。既存Organizationに三菱電機ダイヤモンドドルフィンズ ORG000104 がある）に在籍していた可能性があるが、公式資料で未確認のため開始年は2016とし、推測で遡らせていない。,深掘りWaveでNBL時代の公式資料・クラブ公式発表で加入年と当時名称を確認
B21W2I0011,P000216,C000701,HIGH_SCHOOL_PERIOD,HOLD,中村瀬那の中部大学第一高等学校在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,高校公式・大会公式ロスターでの裏付けを確認
B21W2I0012,P000216,C000702,UNIVERSITY_PERIOD,HOLD,中村瀬那の天理大学在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,全日本大学バスケットボール連盟（JUBF）の年度別ロスターでの裏付けを確認
