decision_id,entity_type,entity_id,held_fields,reason
B15W1D0002,Career,C000593,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B15W1D0003,Career,C000594,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B15W1D0004,Career,C000595,end,READY判断内の未確認項目としてVERIFIEDから除外
B15W1D0006,Career,C000596,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B15W1D0007,Career,C000597,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B15W1D0008,Career,C000598,end,READY判断内の未確認項目としてVERIFIEDから除外
B15W1D0010,Career,C000599,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B15W1D0011,Career,C000600,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B15W1D0012,Career,C000601,end,READY判断内の未確認項目としてVERIFIEDから除外
B15W1D0014,Career,C000602,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B15W1D0015,Career,C000603,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B15W1D0016,Career,C000604,end,READY判断内の未確認項目としてVERIFIEDから除外
