career_id,person_id,organization_id,role,start,end
C000420,P000121,ORG000127,Player,,
C000421,P000121,ORG000166,Player,,
C000422,P000121,ORG000092,Player,2025,
C000423,P000122,ORG000127,Player,,
C000424,P000122,ORG000097,Player,2024,
C000425,P000123,ORG000127,Player,,
C000426,P000123,ORG000166,Player,,
C000427,P000123,ORG000181,Player,2025,
C000428,P000124,ORG000127,Player,,
C000429,P000124,ORG000124,Player,,
C000430,P000124,ORG000180,Player,2024,
C000431,P000125,ORG000127,Player,,
C000432,P000125,ORG000166,Player,,
C000433,P000125,ORG000153,Player,2025,
C000434,P000126,ORG000127,Player,,
C000435,P000126,ORG000166,Player,,
C000436,P000126,ORG000182,Player,2025,
