source_id,title,publisher,url,accessed_at
B8W3S0001,木林優 選手プロフィール,B.LEAGUE,https://www.bleague.jp/roster_detail/?PlayerID=51000349,2026-09-24
B8W3S0002,木林優,Wikipedia,https://ja.wikipedia.org/wiki/%E6%9C%A8%E6%9E%97%E5%84%AA,2026-09-24
B8W3S0003,湧川颯斗 選手プロフィール,B.LEAGUE,https://www.bleague.jp/roster_detail/?PlayerID=51000236,2026-09-24
B8W3S0004,中田嵩基 選手プロフィール,B.LEAGUE,https://www.bleague.jp/roster_detail/?PlayerID=51000246,2026-09-24
B8W3S0005,平松克樹 選手プロフィール,B.LEAGUE,https://www.bleague.jp/roster_detail/?PlayerID=51000443,2026-09-24
B8W3S0006,岩下准平 選手プロフィール,B.LEAGUE,https://www.bleague.jp/roster_detail/?PlayerID=51000586,2026-09-24
B8W3S0007,浅井修伍 選手プロフィール,B.LEAGUE,https://www.bleague.jp/roster_detail/?PlayerID=51000235,2026-09-24
B8W3S0008,ワタシノB.LEAGUE選手一覧 | 福岡大学附属大濠高等学校,B.LEAGUE,https://www.bleague.jp/mybleague_list/?TagID=35:福岡大学附属大濠高等学校,2026-09-24
B8W3S0009,滋賀レイクス、筑波大4年・岩下准平選手と契約 島根戦でプロデビュー,みんなの経済新聞ネットワーク（Yahoo!ニュース）,https://news.yahoo.co.jp/articles/4cc89ee36f835bab2dbbe9d0e3b41ec5302ebac3,2026-09-24
B8W3S0011,B2山形が福岡退団の中田嵩基を獲得「山形の攻撃的なスタイルでプレーできることがとても楽しみ」,バスケットボールキング,https://basketballking.jp/news/japan/20250627/551529.html,2026-09-24
B8W3S0012,浅井修伍がB1茨城からB2青森に移籍「成長した姿を」新天地で飛躍誓う,バスケットボールキング,https://basketballking.jp/news/japan/20250616/549475.html,2026-09-24
