decision_id,entity_type,entity_id,held_fields,reason
B8W3D0002,Career,C000420,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B8W3D0003,Career,C000421,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B8W3D0004,Career,C000422,end,READY判断内の未確認項目としてVERIFIEDから除外
B8W3D0006,Career,C000423,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B8W3D0007,Career,C000424,end,READY判断内の未確認項目としてVERIFIEDから除外
B8W3D0009,Career,C000425,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B8W3D0010,Career,C000426,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B8W3D0011,Career,C000427,end,READY判断内の未確認項目としてVERIFIEDから除外
B8W3D0013,Career,C000428,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B8W3D0014,Career,C000429,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B8W3D0015,Career,C000430,end,READY判断内の未確認項目としてVERIFIEDから除外
B8W3D0017,Career,C000431,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B8W3D0018,Career,C000432,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B8W3D0019,Career,C000433,end,READY判断内の未確認項目としてVERIFIEDから除外
B8W3D0021,Career,C000434,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B8W3D0022,Career,C000435,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B8W3D0023,Career,C000436,end,READY判断内の未確認項目としてVERIFIEDから除外
