issue_id,person_id,related_id,issue_type,status,description,next_check
B20W2I0001,P000205,C000668,HIGH_SCHOOL_PERIOD,HOLD,阿部諒の船橋市立船橋高等学校在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,高校公式・大会公式ロスターでの裏付けを確認
B20W2I0002,P000205,C000669,UNIVERSITY_PERIOD,HOLD,阿部諒の拓殖大学在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,全日本大学バスケットボール連盟（JUBF）の年度別ロスターでの裏付けを確認
B20W2I0003,P000205,P000205,PRO_HISTORY_GAPS,HOLD,阿部諒は現所属（佐賀バルーナーズ、2025-26〜）以前にSR渋谷（2024-25、および2017-18）・仙台（2023-24）・島根（2018-19〜2022-23）の在籍がB.LEAGUE公式のクラブ所属履歴で確認できるが、今回のWaveでは現所属クラブのみを最小経路として登録し、過去クラブは対象外とした。,後続の深掘りWaveでクラブ別Careerを追加
B20W2I0004,P000206,C000671,HIGH_SCHOOL_PERIOD,HOLD,遠藤祐亮の船橋市立船橋高等学校在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,高校公式・大会公式ロスターでの裏付けを確認
B20W2I0005,P000206,C000672,UNIVERSITY_PERIOD,HOLD,遠藤祐亮の大東文化大学在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,全日本大学バスケットボール連盟（JUBF）の年度別ロスターでの裏付けを確認
B20W2I0006,P000206,C000673,ORG_NAME_HISTORY,HOLD,宇都宮ブレックス（ORG000047）は2019年7月に「栃木ブレックス」から改称した（batch_010 issue B10W1I0006で確認済み）。遠藤祐亮は改称前の2016-17から在籍しており、所属履歴も2018-19までは「栃木」表記だが、単一名称スキーマでは改称前の呼称を表現できないため、既存方針どおりORG000047の1件のCareerとして登録した。,Organization名称の時系列表現（改称履歴）のスキーマ整備を検討
B20W2I0007,P000206,P000206,PRE_BLEAGUE_HISTORY,HOLD,遠藤祐亮のB.LEAGUE公式クラブ所属履歴は2016-17シーズン（B.LEAGUE開幕）以降のみ掲載されている。それ以前の経歴は公式資料で未確認のため記録していない。,深掘りWaveでNBL等の当時の公式資料・クラブ公式発表を確認
B20W2I0008,P000207,C000674,HIGH_SCHOOL_PERIOD,HOLD,田中晴瑛の船橋市立船橋高等学校在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,高校公式・大会公式ロスターでの裏付けを確認
B20W2I0009,P000207,C000675,UNIVERSITY_PERIOD,HOLD,田中晴瑛の駒澤大学在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,全日本大学バスケットボール連盟（JUBF）の年度別ロスターでの裏付けを確認
B20W2I0010,P000208,C000677,HIGH_SCHOOL_PERIOD,HOLD,市場脩斗の船橋市立船橋高等学校在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,高校公式・大会公式ロスターでの裏付けを確認
B20W2I0011,P000208,C000678,UNIVERSITY_PERIOD,HOLD,市場脩斗の専修大学在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,全日本大学バスケットボール連盟（JUBF）の年度別ロスターでの裏付けを確認
B20W2I0012,P000208,P000208,PRO_HISTORY_GAPS,HOLD,市場脩斗は現所属（レバンガ北海道、2025-26〜）以前に越谷（2024-25、1シーズン）の在籍がB.LEAGUE公式のクラブ所属履歴で確認できるが、今回のWaveでは現所属クラブのみを最小経路として登録し、過去クラブは対象外とした。,後続の深掘りWaveでクラブ別Careerを追加
