decision_id,entity_type,entity_id,held_fields,reason
B10W1D0002,Career,C000457,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B10W1D0003,Career,C000458,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B10W1D0004,Career,C000459,end,READY判断内の未確認項目としてVERIFIEDから除外
B10W1D0006,Career,C000460,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B10W1D0007,Career,C000461,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B10W1D0008,Career,C000462,end,READY判断内の未確認項目としてVERIFIEDから除外
B10W1D0010,Career,C000463,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B10W1D0011,Career,C000464,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B10W1D0012,Career,C000465,end,READY判断内の未確認項目としてVERIFIEDから除外
B10W1D0014,Career,C000466,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B10W1D0015,Career,C000467,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B10W1D0016,Career,C000468,end,READY判断内の未確認項目としてVERIFIEDから除外
B10W1D0018,Career,C000469,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B10W1D0019,Career,C000470,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B10W1D0020,Career,C000471,end,READY判断内の未確認項目としてVERIFIEDから除外
B10W1D0022,Career,C000472,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B10W1D0023,Career,C000473,start|end,READY判断内の未確認項目としてVERIFIEDから除外
B10W1D0024,Career,C000474,end,READY判断内の未確認項目としてVERIFIEDから除外
