career_id,person_id,organization_id,role,start,end
C000457,P000134,ORG000119,Player,,
C000458,P000134,ORG000166,Player,,
C000459,P000134,ORG000047,Player,2024,
C000460,P000135,ORG000119,Player,,
C000461,P000135,ORG000185,Player,,
C000462,P000135,ORG000047,Player,2016,
C000463,P000136,ORG000119,Player,,
C000464,P000136,ORG000031,Player,,
C000465,P000136,ORG000047,Player,2026,
C000466,P000137,ORG000119,Player,,
C000467,P000137,ORG000166,Player,,
C000468,P000137,ORG000180,Player,2021,
C000469,P000138,ORG000119,Player,,
C000470,P000138,ORG000136,Player,,
C000471,P000138,ORG000137,Player,2025,
C000472,P000139,ORG000119,Player,,
C000473,P000139,ORG000136,Player,,
C000474,P000139,ORG000055,Player,2020,
