decision_id,entity_type,entity_id,decision,eligible_fields,held_fields,reason,reviewed_at
B2D0001,Person,P000063,READY_FOR_VERIFIED_REVIEW,name|name_en|birth_date,,B.LEAGUE公式選手プロフィールで直接確認,2026-09-19
B2D0002,Career,C000211,READY_FOR_VERIFIED_REVIEW,organization_id|role,start|end,B.LEAGUE公式のクラブ所属履歴で確認,2026-09-19
B2D0003,Career,C000210,HOLD_CANDIDATE,,organization_id|role|start|end,高校時の登録を示す個別公式資料が未確認,2026-09-19
B2D0004,Person,P000038,READY_FOR_VERIFIED_REVIEW,name|name_en|birth_date,,B.LEAGUE公式選手プロフィールで直接確認,2026-09-19
B2D0005,Career,C000107,READY_FOR_VERIFIED_REVIEW,organization_id|role,start|end,B.LEAGUE公式のクラブ所属履歴で確認,2026-09-19
B2D0006,Career,C000057,READY_FOR_VERIFIED_REVIEW,organization_id|role|jersey_number|height_cm|activity_date,start|end,高校公式ロスターと大会公式レポートで確認,2026-09-19
B2D0007,Person,P000037,READY_FOR_VERIFIED_REVIEW,name|name_en|birth_date,,B.LEAGUE公式選手プロフィールで直接確認,2026-09-19
B2D0008,Career,C000103,READY_FOR_VERIFIED_REVIEW,organization_id|role,start|end,B.LEAGUE公式のクラブ所属履歴で確認,2026-09-19
B2D0009,Career,C000056,READY_FOR_VERIFIED_REVIEW,organization_id|role|grade,start|end,JBA公式U-18資料で高校2・3年時を確認,2026-09-19
B2D0010,Person,P000041,READY_FOR_VERIFIED_REVIEW,name|name_en|birth_date,,B.LEAGUE公式選手プロフィールで直接確認,2026-09-19
B2D0011,Career,C000129,READY_FOR_VERIFIED_REVIEW,organization_id|role,start|end,B.LEAGUE公式のクラブ所属履歴で確認,2026-09-19
B2D0012,Career,C000060,READY_FOR_VERIFIED_REVIEW,organization_id,role|start|end,学校公式パンフレットで卒業関係を確認,2026-09-19
B2D0013,Person,P000042,READY_FOR_VERIFIED_REVIEW,name|name_en|birth_date,,B.LEAGUE公式選手プロフィールで直接確認,2026-09-19
B2D0014,Career,C000140,READY_FOR_VERIFIED_REVIEW,organization_id|role,start|end,B.LEAGUE公式のクラブ所属履歴で確認,2026-09-19
B2D0015,Career,C000061,READY_FOR_VERIFIED_REVIEW,organization_id,role|start|end,学校公式パンフレットで卒業関係を確認,2026-09-19
B2D0016,Person,P000039,READY_FOR_VERIFIED_REVIEW,name|name_en|birth_date,,B.LEAGUE公式選手プロフィールで直接確認,2026-09-19
B2D0017,Career,C000117,READY_FOR_VERIFIED_REVIEW,organization_id|role,start|end,B.LEAGUE公式のクラブ所属履歴で確認,2026-09-19
B2D0018,Career,C000058,READY_FOR_VERIFIED_REVIEW,organization_id|role|grade|position|height_cm,start|end,JBA公式U-18資料で高校3年時を確認,2026-09-19
B2D0019,Person,P000043,READY_FOR_VERIFIED_REVIEW,name|name_en|birth_date,,B.LEAGUE公式選手プロフィールで直接確認,2026-09-19
B2D0020,Career,C000212,READY_FOR_VERIFIED_REVIEW,organization_id|role|start,end,B.LEAGUE公式のクラブ所属履歴で確認,2026-09-19
B2D0021,Career,C000062,READY_FOR_VERIFIED_REVIEW,organization_id|role|grade|position|height_cm,start|end,JBA公式U-18資料で高校1・3年時を確認,2026-09-19
B2D0022,Person,P000035,READY_FOR_VERIFIED_REVIEW,name|name_en|birth_date,,B.LEAGUE公式選手プロフィールで直接確認,2026-09-19
B2D0023,Career,C000088,READY_FOR_VERIFIED_REVIEW,organization_id|role,start|end,B.LEAGUE公式のクラブ所属履歴で確認,2026-09-19
B2D0024,Career,C000054,READY_FOR_VERIFIED_REVIEW,organization_id|role|jersey_number|height_cm,start|end,JBA公式大会ロスターで確認,2026-09-19
B2D0025,Person,P000040,READY_FOR_VERIFIED_REVIEW,name|name_en|birth_date,,B.LEAGUE公式選手プロフィールで直接確認,2026-09-19
B2D0026,Career,C000120,READY_FOR_VERIFIED_REVIEW,organization_id|role,start|end,B.LEAGUE公式のクラブ所属履歴で確認,2026-09-19
B2D0027,Career,C000059,READY_FOR_VERIFIED_REVIEW,organization_id|role|jersey_number|height_cm,start|end,JBA公式大会ロスターで確認,2026-09-19
B2D0028,Person,P000036,READY_FOR_VERIFIED_REVIEW,name|name_en|birth_date,,B.LEAGUE公式選手プロフィールで直接確認,2026-09-19
B2D0029,Career,C000092,READY_FOR_VERIFIED_REVIEW,organization_id|role,start|end,B.LEAGUE公式のクラブ所属履歴で確認,2026-09-19
B2D0030,Career,C000055,READY_FOR_VERIFIED_REVIEW,organization_id,role|start|end,JUBF公式ロスターの出身校欄で確認,2026-09-19
B2D0031,Career,C000070,READY_FOR_VERIFIED_REVIEW,organization_id|role|start|jersey_number|position|height_cm|latest_activity_year,end,JUBF公式2020・2023年ロスターで確認,2026-09-19
B2D0032,Career,C000069,READY_FOR_VERIFIED_REVIEW,organization_id|role|grade,start|end,JBA公式の2013年度日本代表資料で確認,2026-09-19
B2D0033,Career,C000073,READY_FOR_VERIFIED_REVIEW,organization_id|role|grade|award|jersey_number,start|end,東海大学公式受賞記録とJBA公式戦記録で確認,2026-09-19
B2D0034,Career,C000074,READY_FOR_VERIFIED_REVIEW,organization_id|role|start|end,,スラムダンク奨学金公式の略歴と競技記録で確認,2026-09-19
B2D0035,Career,C000071,READY_FOR_VERIFIED_REVIEW,organization_id|role|grade|jersey_number|position|height_cm,start|end,JUBF公式2015・2016年ロスターで確認,2026-09-19
B2D0036,Career,C000075,READY_FOR_VERIFIED_REVIEW,organization_id|role|start|grade|jersey_number|position|height_cm,end,JUBF公式2019・2022年ロスターで確認,2026-09-19
B2D0037,Career,C000067,READY_FOR_VERIFIED_REVIEW,organization_id|role|start|end|jersey_number|position|height_cm,,JUBF公式ロスターと千葉ジェッツ公式退部発表で確認,2026-09-19
B2D0038,Career,C000072,READY_FOR_VERIFIED_REVIEW,organization_id|role|grade|jersey_number|position|height_cm,start|end,JUBF公式2021・2022年ロスターで確認,2026-09-19
B2D0039,Career,C000068,READY_FOR_VERIFIED_REVIEW,organization_id|role|start|grade|jersey_number|position|height_cm,end,JUBF公式2018・2021年ロスターで確認,2026-09-19
