career_id,person_id,organization_id,role,start,end
C000402,P000115,ORG000127,Player,,
C000403,P000115,ORG000015,Player,,
C000404,P000115,ORG000153,Player,2024,
C000405,P000116,ORG000127,Player,,
C000406,P000116,ORG000121,Player,,
C000407,P000116,ORG000149,Player,2025,
C000408,P000117,ORG000127,Player,,
C000409,P000117,ORG000166,Player,,
C000410,P000117,ORG000171,Player,2024,
C000411,P000118,ORG000127,Player,,
C000412,P000118,ORG000124,Player,,
C000413,P000118,ORG000180,Player,2025,
C000414,P000119,ORG000127,Player,,
C000415,P000119,ORG000015,Player,,
C000416,P000119,ORG000116,Player,2026,
C000417,P000120,ORG000127,Player,,
C000418,P000120,ORG000015,Player,2025,2025
C000419,P000120,ORG000144,Player,2025,
