verified_batch,issue_id,person_id,name,related_id,issue_type,description,disposition
Batch 006,B6W1I0001,P000075,井手 優希,C000267,HIGH_SCHOOL_PERIOD,2014年8月時点の福岡第一高校3年を確認したが入学・卒業年月は未確認,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
Batch 006,B6W1I0002,P000075,井手 優希,C000268,UNIVERSITY_PERIOD,日本体育大学はB.LEAGUE出身校表示のみで競技登録期間は未確認,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
Batch 006,B6W1I0003,P000075,井手 優希,C000269,PRO_HISTORY_GAPS,最小経路として現在の山口を候補化し、横浜EX・岩手等の過去Careerは未作成,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
Batch 006,B6W1I0004,P000076,クベマ スティーブ,P000076,NAME_VARIATION,B.LEAGUEはクベマ スティーブ、クラブはスティーブ・クベマ・ジョセフと表記,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
Batch 006,B6W1I0005,P000076,クベマ スティーブ,C000270|C000271,EDUCATION_PERIOD,高校・大学の開始年と終了年は未確認,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
Batch 006,B6W1I0006,P000076,クベマ スティーブ,C000272,PRO_HISTORY_GAPS,八王子以前の静岡・品川Careerは今回の最小経路に未収録,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
Batch 006,B6W1I0007,P000012,ジャン・ローレンス・ハーパージュニア,P000012,NAME_VARIATION,高校資料とB.LEAGUEで氏名の空白・中黒・順序に表記差がある,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
Batch 006,B6W1I0008,P000012,ジャン・ローレンス・ハーパージュニア,C000273|C000274,EDUCATION_PERIOD,高校・大学の開始年と終了年は未確認,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
Batch 006,B6W1I0009,P000012,ジャン・ローレンス・ハーパージュニア,C000275,PRO_HISTORY_GAPS,最小経路として東京SRを候補化し、琉球・群馬の個別Careerは未作成,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
Batch 006,B6W1I0010,P000078,長島 エマニエル,P000078,POST_HIGH_SCHOOL_GAP,高校と2016-18福岡の間の大学・所属は未確認,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
