issue_id,person_id,related_id,issue_type,status,description,next_check
B19W1I0001,P000193,C000632,HIGH_SCHOOL_PERIOD,HOLD,伊藤治輝の桐光学園高等学校在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,高校公式・大会公式ロスターでの裏付けを確認
B19W1I0002,P000193,C000633,UNIVERSITY_PERIOD,HOLD,伊藤治輝の明治大学在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,全日本大学バスケットボール連盟（JUBF）の年度別ロスターでの裏付けを確認
B19W1I0003,P000193,P000193,PRO_HISTORY_GAPS,HOLD,伊藤治輝は現所属（ファイティングイーグルス名古屋、2025-26〜）以前に金沢（2024-25、1シーズン。クラブ正式名は所属履歴上の略称のみで未確認）の在籍がB.LEAGUE公式のクラブ所属履歴で確認できるが、今回のWaveでは現所属クラブのみを最小経路として登録し、過去クラブは対象外とした。,後続の深掘りWaveでクラブ別Careerを追加
B19W1I0004,P000194,C000635,HIGH_SCHOOL_PERIOD,HOLD,オドゲレルトルガの桐光学園高等学校在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,高校公式・大会公式ロスターでの裏付けを確認
B19W1I0005,P000194,C000636,UNIVERSITY_PERIOD,HOLD,オドゲレルトルガの青山学院大学在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,全日本大学バスケットボール連盟（JUBF）の年度別ロスターでの裏付けを確認
B19W1I0006,P000195,C000638,HIGH_SCHOOL_PERIOD,HOLD,小針幸也の桐光学園高等学校在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,高校公式・大会公式ロスターでの裏付けを確認
B19W1I0007,P000195,C000639,UNIVERSITY_PERIOD,HOLD,小針幸也の神奈川大学在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,全日本大学バスケットボール連盟（JUBF）の年度別ロスターでの裏付けを確認
B19W1I0008,P000195,P000195,PRO_HISTORY_GAPS,HOLD,小針幸也は現所属（琉球ゴールデンキングス、2025-26〜）以前に川崎（2024-25、1シーズン）・長崎（2022-23〜2023-24、2シーズン）の在籍がB.LEAGUE公式のクラブ所属履歴で確認できるが、今回のWaveでは現所属クラブのみを最小経路として登録し、過去クラブは対象外とした。,後続の深掘りWaveでクラブ別Careerを追加
B19W1I0009,P000196,C000641,HIGH_SCHOOL_PERIOD,HOLD,喜多川修平の桐光学園高等学校在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,高校公式・大会公式ロスターでの裏付けを確認
B19W1I0010,P000196,C000642,UNIVERSITY_PERIOD,HOLD,喜多川修平の専修大学在籍そのものはB.LEAGUE公式プロフィールで確認できたが、入学・卒業年月は資料に記載がなく未確認。,全日本大学バスケットボール連盟（JUBF）の年度別ロスターでの裏付けを確認
B19W1I0011,P000196,P000196,PRO_HISTORY_GAPS,HOLD,喜多川修平は現所属（越谷アルファーズ、2023-24〜）以前に宇都宮（2019-20〜2022-23）・栃木（2017-18〜2018-19、所属履歴上の当時表記。batch_010で同一クラブと確認済みの宇都宮ブレックス改称前名称。深掘り時は既存方針どおり当時名称で記録）・琉球（2016-17）の在籍がB.LEAGUE公式のクラブ所属履歴で確認できるが、今回のWaveでは現所属クラブのみを最小経路として登録し、過去クラブは対象外とした。,後続の深掘りWaveでクラブ別Careerを追加
B19W1I0012,P000196,P000196,PRE_BLEAGUE_HISTORY,HOLD,喜多川修平のB.LEAGUE公式クラブ所属履歴は2016-17シーズン（B.LEAGUE開幕）以降のみ掲載されている。1985年生まれで大学卒業後にB.LEAGUE開幕前のリーグでプレーしていた可能性があるが、公式資料で未確認のため記録していない。,深掘りWaveでNBL・bjリーグ等の当時の公式資料・クラブ公式発表を確認
