decision_id,entity_type,entity_id,held_fields,reason
B2D0002,Career,C000211,start|end,CANDIDATEの未確認項目として保持
B2D0003,Career,C000210,role|start|end,CANDIDATEの未確認項目として保持
B2D0005,Career,C000107,start|end,CANDIDATEの未確認項目として保持
B2D0006,Career,C000057,start|end,CANDIDATEの未確認項目として保持
B2D0008,Career,C000103,start|end,CANDIDATEの未確認項目として保持
B2D0009,Career,C000056,start|end,CANDIDATEの未確認項目として保持
B2D0011,Career,C000129,start|end,CANDIDATEの未確認項目として保持
B2D0012,Career,C000060,role|start|end,CANDIDATEの未確認項目として保持
B2D0014,Career,C000140,start|end,CANDIDATEの未確認項目として保持
B2D0015,Career,C000061,role|start|end,CANDIDATEの未確認項目として保持
B2D0017,Career,C000117,start|end,CANDIDATEの未確認項目として保持
B2D0018,Career,C000058,start|end,CANDIDATEの未確認項目として保持
B2D0020,Career,C000212,end,CANDIDATEの未確認項目として保持
B2D0021,Career,C000062,start|end,CANDIDATEの未確認項目として保持
B2D0023,Career,C000088,start|end,CANDIDATEの未確認項目として保持
B2D0024,Career,C000054,start|end,CANDIDATEの未確認項目として保持
B2D0026,Career,C000120,start|end,CANDIDATEの未確認項目として保持
B2D0027,Career,C000059,start|end,CANDIDATEの未確認項目として保持
B2D0029,Career,C000092,start|end,CANDIDATEの未確認項目として保持
B2D0030,Career,C000055,role|start|end,CANDIDATEの未確認項目として保持
B2D0031,Career,C000070,end,CANDIDATEの未確認項目として保持
B2D0032,Career,C000069,start|end,CANDIDATEの未確認項目として保持
B2D0033,Career,C000073,start|end,CANDIDATEの未確認項目として保持
B2D0035,Career,C000071,start|end,CANDIDATEの未確認項目として保持
B2D0036,Career,C000075,end,CANDIDATEの未確認項目として保持
B2D0038,Career,C000072,start|end,CANDIDATEの未確認項目として保持
B2D0039,Career,C000068,end,CANDIDATEの未確認項目として保持
B2D0040,Career,C000076,start|end,CANDIDATEの未確認項目として保持
