verified_batch,record_id,entity_type,entity_id,field_name,candidate_value,source_id,source_locator,evidence_summary,assessment,checked_at,issue_note
Batch 8 Wave 1 (福岡大学附属大濠高等学校（学校1/11）),B8W1E0001,Person,P000111,name,杉浦 佑成,B8W1S0002,基本情報 > 選手名,B.LEAGUE公式プロフィールで氏名を確認,SUPPORTED,2026-09-24,
Batch 8 Wave 1 (福岡大学附属大濠高等学校（学校1/11）),B8W1E0002,Person,P000111,birth_date,1995-06-24,B8W1S0002,基本情報 > 生年月日,B.LEAGUE公式プロフィールで生年月日を確認,SUPPORTED,2026-09-24,
Batch 8 Wave 1 (福岡大学附属大濠高等学校（学校1/11）),B8W1E0003,Career,C000390,organization_id,ORG000127,B8W1S0002,学歴 > 高校：福岡大学附属大濠高等学校,B.LEAGUE公式プロフィールで出身高校を確認,SUPPORTED,2026-09-24,
Batch 8 Wave 1 (福岡大学附属大濠高等学校（学校1/11）),B8W1E0004,Career,C000390,organization_id,ORG000127,B8W1S0001,TagID=35（福岡大学附属大濠高等学校）掲載選手一覧,B.LEAGUE公式の出身校タグ一覧に掲載（独立した第2の公式確認）,SUPPORTED,2026-09-24,
Batch 8 Wave 1 (福岡大学附属大濠高等学校（学校1/11）),B8W1E0005,Career,C000391,organization_id,ORG000166,B8W1S0002,学歴 > 大学：筑波大学,B.LEAGUE公式プロフィールで出身大学を確認,SUPPORTED,2026-09-24,
Batch 8 Wave 1 (福岡大学附属大濠高等学校（学校1/11）),B8W1E0006,Career,C000391,organization_id,ORG000166,B8W1S0006,選手一覧表 > 杉浦佑成 / 進学大学：筑波大学,バスケWeb辞典でも筑波大学進学を確認（独立した第2ソース）,SUPPORTED,2026-09-24,
Batch 8 Wave 1 (福岡大学附属大濠高等学校（学校1/11）),B8W1E0007,Career,C000392,organization_id,ORG000132,B8W1S0002,現在の所属：仙台89ERS（2025-26シーズン〜）,B.LEAGUE公式プロフィールで現所属クラブを確認,SUPPORTED,2026-09-24,
Batch 8 Wave 1 (福岡大学附属大濠高等学校（学校1/11）),B8W1E0008,Career,C000392,start,2025,B8W1S0002,クラブ所属履歴 > 「2025-26 仙台」,B.LEAGUE公式のクラブ所属履歴で2025-26シーズンからの加入を確認,SUPPORTED,2026-09-24,
Batch 8 Wave 1 (福岡大学附属大濠高等学校（学校1/11）),B8W1E0009,Person,P000112,name,寒竹 隼人,B8W1S0003,基本情報 > 選手名,B.LEAGUE公式プロフィールで氏名を確認,SUPPORTED,2026-09-24,
Batch 8 Wave 1 (福岡大学附属大濠高等学校（学校1/11）),B8W1E0010,Person,P000112,birth_date,1986-08-01,B8W1S0003,基本情報 > 生年月日,B.LEAGUE公式プロフィールで生年月日を確認,SUPPORTED,2026-09-24,
Batch 8 Wave 1 (福岡大学附属大濠高等学校（学校1/11）),B8W1E0011,Career,C000393,organization_id,ORG000127,B8W1S0003,学歴 > 高校：福岡大学附属大濠高等学校,B.LEAGUE公式プロフィールで出身高校を確認,SUPPORTED,2026-09-24,
Batch 8 Wave 1 (福岡大学附属大濠高等学校（学校1/11）),B8W1E0012,Career,C000393,organization_id,ORG000127,B8W1S0001,TagID=35（福岡大学附属大濠高等学校）掲載選手一覧,B.LEAGUE公式の出身校タグ一覧に掲載（独立した第2の公式確認）,SUPPORTED,2026-09-24,
Batch 8 Wave 1 (福岡大学附属大濠高等学校（学校1/11）),B8W1E0013,Career,C000394,organization_id,ORG000031,B8W1S0003,学歴 > 大学：拓殖大学,B.LEAGUE公式プロフィールで出身大学を確認,SUPPORTED,2026-09-24,
