verified_batch,issue_id,person_id,name,related_id,issue_type,description,disposition
Batch 8 Wave 1 (福岡大学附属大濠高等学校（学校1/11）),B8W1I0001,P000111|P000112|P000113|P000114,杉浦 佑成、寒竹 隼人、青木 保憲、土家 大輝,C000390|C000393|C000396|C000399,HIGH_SCHOOL_PERIOD,4名とも福岡大学附属大濠高等学校在籍そのものは複数ソースで確認できたが、入学・卒業年月はいずれの資料にも記載がなく未確認。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
Batch 8 Wave 1 (福岡大学附属大濠高等学校（学校1/11）),B8W1I0002,P000111|P000112|P000113|P000114,杉浦 佑成、寒竹 隼人、青木 保憲、土家 大輝,C000391|C000394|C000397|C000400,UNIVERSITY_PERIOD,4名とも大学在籍そのものは複数ソースで確認できたが、入学・卒業年月はいずれの資料にも記載がなく未確認。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
Batch 8 Wave 1 (福岡大学附属大濠高等学校（学校1/11）),B8W1I0003,P000112,寒竹 隼人,P000112,PRO_HISTORY_GAPS,寒竹隼人は現所属（ライジングゼファー福岡、2023-24〜）以前にも仙台（2020-23）、琉球（2018-20）、大阪（2017-18）、島根（2016-17）でのプロ経歴がB.LEAGUE公式のクラブ所属履歴で確認できるが、今回のWaveでは現所属クラブのみを最小経路として登録し、過去クラブは対象外とした。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
Batch 8 Wave 1 (福岡大学附属大濠高等学校（学校1/11）),B8W1I0004,P000114,土家 大輝,P000114,PRO_HISTORY_GAPS,土家大輝は現所属（信州、2025-26〜）以前にも大阪（2024-25）、福島（2022-24）、島根（2021-22）、FE名古屋（2020-21）でのプロ経歴がB.LEAGUE公式のクラブ所属履歴で確認できるが、今回のWaveでは現所属クラブのみを最小経路として登録し、過去クラブは対象外とした。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
Batch 8 Wave 1 (福岡大学附属大濠高等学校（学校1/11）),B8W1I0005,P000113|P000114,青木 保憲、土家 大輝,C000396|C000399,PROFILE_FIELD_GAP,青木保憲・土家大輝の本人B.LEAGUE公式プロフィールページには、高校名を直接示す「出身校」欄の記載が見当たらなかった（青木保憲は欄自体が空欄、土家大輝は大学名のみ表示）。出身校タグ一覧・バスケWeb辞典・Wikipedia（青木保憲のみ）で裏付けたが、選手個人ページの表示形式の違いによるものか未確認。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
Batch 8 Wave 1 (福岡大学附属大濠高等学校（学校1/11）),B8W1I0006,P000111|P000112|P000113|P000114,杉浦 佑成、寒竹 隼人、青木 保憲、土家 大輝,P000111|P000112|P000113|P000114,SCOPE_NOTE,docs/BATCH_008_PROPOSAL.mdで選定した福岡大学附属大濠高等学校（学校1/11）のうち、B.LEAGUE公式出身校タグ一覧の18名から既存登録済み1名（金丸晃輔、P000090）を除いた17名の一部（4名）を本Waveで対応。残り13名は後続Waveで対応する。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
Batch 8 Wave 2 (福岡大学附属大濠高等学校（学校1/11）),B8W2I0001,P000115|P000116|P000117|P000118|P000119|P000120,西田 陽成、泉 登翔、間山 柊、針間 大知、西田 公陽、渡邉 伶音,C000402|C000405|C000408|C000411|C000414|C000417,HIGH_SCHOOL_PERIOD,6名とも福岡大学附属大濠高等学校在籍そのものは複数ソースで確認できたが、入学・卒業年月はいずれの資料にも記載がなく未確認。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
Batch 8 Wave 2 (福岡大学附属大濠高等学校（学校1/11）),B8W2I0002,P000115|P000116|P000117|P000118|P000119,西田 陽成、泉 登翔、間山 柊、針間 大知、西田 公陽,C000403|C000406|C000409|C000412|C000415,UNIVERSITY_PERIOD,5名（渡邉伶音を除く）とも大学在籍そのものは確認できたが、入学・卒業年月はいずれの資料にも記載がなく未確認。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
Batch 8 Wave 2 (福岡大学附属大濠高等学校（学校1/11）),B8W2I0003,P000119,西田 公陽,C000416,LOAN_STATUS,西田公陽の徳島ガンバロウズ在籍は、報道によれば原契約チームのシーホース三河（ORG000130）からの期限付き移籍（ローン）である可能性がある。B.LEAGUE公式は徳島を現所属として扱っているためそれに従ったが、ローン・原契約関係を表現するデータモデルが未整備。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
Batch 8 Wave 2 (福岡大学附属大濠高等学校（学校1/11）),B8W2I0004,P000120,渡邉 伶音,P000120,PRO_HISTORY_GAPS,渡邉伶音は東海大学進学（2025年4月）以前の2025年1月〜3月、高校在学中にライジングゼファー福岡で特別指定選手として活動していたことが報道で確認できるが、今回のWaveでは大学中退後の正式契約（アルティーリ千葉）のみを最小経路として登録し、特別指定選手期間は対象外とした。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
Batch 8 Wave 3 (福岡大学附属大濠高等学校（学校1/11）),B8W3I0001,P000121|P000122|P000123|P000124|P000125|P000126,木林 優、湧川 颯斗、中田 嵩基、平松 克樹、岩下 准平、浅井 修伍,C000420|C000423|C000425|C000428|C000431|C000434,HIGH_SCHOOL_PERIOD,6名とも福岡大学附属大濠高等学校在籍そのものは複数ソースで確認できたが、入学・卒業年月はいずれの資料にも記載がなく未確認。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
Batch 8 Wave 3 (福岡大学附属大濠高等学校（学校1/11）),B8W3I0002,P000121|P000123|P000124|P000125|P000126,木林 優、中田 嵩基、平松 克樹、岩下 准平、浅井 修伍,C000421|C000426|C000429|C000432|C000435,UNIVERSITY_PERIOD,5名（湧川颯斗を除く、大学に進学していない）とも大学在籍そのものは確認できたが、入学・卒業年月はいずれの資料にも記載がなく未確認。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
Batch 8 Wave 3 (福岡大学附属大濠高等学校（学校1/11）),B8W3I0003,P000121,木林 優,P000121,PRO_HISTORY_GAPS,木林優は現所属（レバンガ北海道、2025-26〜）以前に長崎ヴェルカ（2023年12月特別指定選手加入〜2024-25）でのプロ経歴がB.LEAGUE公式のクラブ所属履歴・Wikipediaで確認できるが、今回のWaveでは現所属クラブのみを最小経路として登録し、過去クラブは対象外とした。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
Batch 8 Wave 3 (福岡大学附属大濠高等学校（学校1/11）),B8W3I0004,P000122,湧川 颯斗,P000122,PRO_HISTORY_GAPS,湧川颯斗は現所属（三遠ネオフェニックス、2024-25〜）以前に滋賀レイクス（ORG000153、2022-23〜2023-24）でのプロ経歴がB.LEAGUE公式のクラブ所属履歴で確認できるが、今回のWaveでは現所属クラブのみを最小経路として登録し、過去クラブは対象外とした。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
Batch 8 Wave 3 (福岡大学附属大濠高等学校（学校1/11）),B8W3I0005,P000123,中田 嵩基,P000123,PRO_HISTORY_GAPS,中田嵩基は現所属（山形ワイヴァンズ、2025-26〜）以前にライジングゼファー福岡（ORG000040、2022-23〜2024-25）でのプロ経歴がB.LEAGUE公式のクラブ所属履歴・バスケットボールキング記事で確認できるが、今回のWaveでは現所属クラブのみを最小経路として登録し、過去クラブは対象外とした。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
Batch 8 Wave 3 (福岡大学附属大濠高等学校（学校1/11）),B8W3I0006,P000126,浅井 修伍,P000126,PRO_HISTORY_GAPS,浅井修伍は現所属（青森ワッツ、2025-26〜）以前に茨城ロボッツ（ORG000103、2022-23〜2024-25）でのプロ経歴がB.LEAGUE公式のクラブ所属履歴・バスケットボールキング記事で確認できるが、今回のWaveでは現所属クラブのみを最小経路として登録し、過去クラブは対象外とした。,VERIFIEDへ含めず、追加の公式資料が得られるまで保留
