person_id,name,verified_batch,verified_commit,career_count,evidence_count,hold_issue_count,priority_reason
P000111,杉浦 佑成,Batch 8 Wave 1 (福岡大学附属大濠高等学校（学校1/11）),8dd71b9,3,8,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000112,寒竹 隼人,Batch 8 Wave 1 (福岡大学附属大濠高等学校（学校1/11）),8dd71b9,3,8,4,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000113,青木 保憲,Batch 8 Wave 1 (福岡大学附属大濠高等学校（学校1/11）),8dd71b9,3,8,4,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000114,土家 大輝,Batch 8 Wave 1 (福岡大学附属大濠高等学校（学校1/11）),8dd71b9,3,8,5,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000115,西田 陽成,Batch 8 Wave 2 (福岡大学附属大濠高等学校（学校1/11）),8dd71b9,3,7,2,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000116,泉 登翔,Batch 8 Wave 2 (福岡大学附属大濠高等学校（学校1/11）),8dd71b9,3,6,2,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000117,間山 柊,Batch 8 Wave 2 (福岡大学附属大濠高等学校（学校1/11）),8dd71b9,3,7,2,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000118,針間 大知,Batch 8 Wave 2 (福岡大学附属大濠高等学校（学校1/11）),8dd71b9,3,7,2,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000119,西田 公陽,Batch 8 Wave 2 (福岡大学附属大濠高等学校（学校1/11）),8dd71b9,3,7,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000120,渡邉 伶音,Batch 8 Wave 2 (福岡大学附属大濠高等学校（学校1/11）),8dd71b9,3,9,2,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000121,木林 優,Batch 8 Wave 3 (福岡大学附属大濠高等学校（学校1/11）),8dd71b9,3,7,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000122,湧川 颯斗,Batch 8 Wave 3 (福岡大学附属大濠高等学校（学校1/11）),8dd71b9,2,6,2,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000123,中田 嵩基,Batch 8 Wave 3 (福岡大学附属大濠高等学校（学校1/11）),8dd71b9,3,7,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000124,平松 克樹,Batch 8 Wave 3 (福岡大学附属大濠高等学校（学校1/11）),8dd71b9,3,7,2,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000125,岩下 准平,Batch 8 Wave 3 (福岡大学附属大濠高等学校（学校1/11）),8dd71b9,3,6,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000126,浅井 修伍,Batch 8 Wave 3 (福岡大学附属大濠高等学校（学校1/11）),8dd71b9,3,7,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000127,島﨑 輝,Batch 8 Wave 4 (福岡大学附属大濠高等学校（学校1/11）),8dd71b9,3,7,2,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000128,納見 悠仁,Batch 9 Wave 1 (仙台大学附属明成高等学校（学校2/11）),8dd71b9,3,7,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000129,白戸 大聖,Batch 9 Wave 1 (仙台大学附属明成高等学校（学校2/11）),8dd71b9,3,7,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000130,菅野 ブルース,Batch 9 Wave 1 (仙台大学附属明成高等学校（学校2/11）),8dd71b9,3,6,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000131,山内 ジャヘル琉人,Batch 9 Wave 1 (仙台大学附属明成高等学校（学校2/11）),8dd71b9,2,5,2,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000132,石川 海斗,Batch 9 Wave 1 (仙台大学附属明成高等学校（学校2/11）),8dd71b9,3,7,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000133,八村 阿蓮,Batch 9 Wave 1 (仙台大学附属明成高等学校（学校2/11）),8dd71b9,3,6,4,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000134,星川 開聖,Batch 10 Wave 1 (洛南高等学校（学校3/11）),8dd71b9,3,6,2,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000135,竹内 公輔,Batch 10 Wave 1 (洛南高等学校（学校3/11）),8dd71b9,3,6,4,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000136,荒川 颯,Batch 10 Wave 1 (洛南高等学校（学校3/11）),8dd71b9,3,6,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000137,笹山 貴哉,Batch 10 Wave 1 (洛南高等学校（学校3/11）),8dd71b9,3,6,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000138,岩屋 頼,Batch 10 Wave 1 (洛南高等学校（学校3/11）),8dd71b9,3,6,2,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000139,森井 健太,Batch 10 Wave 1 (洛南高等学校（学校3/11）),8dd71b9,3,6,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000140,淺野 ケニー,Batch 10 Wave 2 (洛南高等学校（学校3/11）),8dd71b9,3,6,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000141,飯尾 文哉,Batch 10 Wave 2 (洛南高等学校（学校3/11）),8dd71b9,3,6,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000142,谷口 大智,Batch 10 Wave 2 (洛南高等学校（学校3/11）),8dd71b9,3,6,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000143,寺嶋 良,Batch 10 Wave 2 (洛南高等学校（学校3/11）),8dd71b9,3,6,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000144,谷口 光貴,Batch 10 Wave 2 (洛南高等学校（学校3/11）),8dd71b9,3,6,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000145,大橋 大空,Batch 10 Wave 2 (洛南高等学校（学校3/11）),8dd71b9,3,5,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000146,大庭 岳輝,Batch 10 Wave 3 (洛南高等学校（学校3/11）),8dd71b9,3,6,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000147,伊藤 達哉,Batch 10 Wave 3 (洛南高等学校（学校3/11）),8dd71b9,3,6,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000148,津屋 一球,Batch 10 Wave 3 (洛南高等学校（学校3/11）),8dd71b9,3,6,2,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000149,小川 敦也,Batch 10 Wave 3 (洛南高等学校（学校3/11）),8dd71b9,3,6,2,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000150,小林 遥太,Batch 10 Wave 3 (洛南高等学校（学校3/11）),8dd71b9,3,6,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000151,伊藤 良太,Batch 10 Wave 3 (洛南高等学校（学校3/11）),8dd71b9,3,6,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000152,大西 一輝,Batch 10 Wave 4 (洛南高等学校（学校3/11）),8dd71b9,3,10,4,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000153,介川 アンソニー翔,Batch 11 Wave 1 (開志国際高等学校（学校4/11）),8dd71b9,3,6,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000154,小栗 瑛哉,Batch 11 Wave 1 (開志国際高等学校（学校4/11）),8dd71b9,3,6,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000155,平良 宗龍,Batch 11 Wave 1 (開志国際高等学校（学校4/11）),8dd71b9,2,5,2,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000156,榎田 拓真,Batch 12 Wave 1 (延岡学園高等学校（学校5/11）),8dd71b9,3,6,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000157,藤澤 尚之,Batch 13 Wave 1 (東山高等学校（学校6/11）),8dd71b9,3,6,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000158,瀬川 琉久,Batch 13 Wave 1 (東山高等学校（学校6/11）),8dd71b9,2,5,1,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000159,堀 陽稀,Batch 13 Wave 1 (東山高等学校（学校6/11）),8dd71b9,3,6,2,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000160,米須 玲音,Batch 13 Wave 1 (東山高等学校（学校6/11）),8dd71b9,3,6,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000161,岡田 侑大,Batch 13 Wave 2 (東山高等学校（学校6/11）),8dd71b9,3,6,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000162,堀田 尚秀,Batch 13 Wave 2 (東山高等学校（学校6/11）),8dd71b9,3,6,2,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000163,西部 秀馬,Batch 13 Wave 2 (東山高等学校（学校6/11）),8dd71b9,3,6,2,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000164,川嶋 勇人,Batch 13 Wave 2 (東山高等学校（学校6/11）),8dd71b9,3,6,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000165,高島 紳司,Batch 14 Wave 1 (北陸高等学校（学校7/11）),8dd71b9,3,6,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000166,野本 建吾,Batch 14 Wave 1 (北陸高等学校（学校7/11）),8dd71b9,3,6,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000167,大﨑 翔太,Batch 14 Wave 1 (北陸高等学校（学校7/11）),8dd71b9,3,6,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000168,多嶋 朝飛,Batch 14 Wave 1 (北陸高等学校（学校7/11）),8dd71b9,3,6,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000169,松山 駿,Batch 14 Wave 2 (北陸高等学校（学校7/11）),8dd71b9,3,6,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000170,松本 健児リオン,Batch 14 Wave 2 (北陸高等学校（学校7/11）),8dd71b9,3,6,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000171,二上 耀,Batch 14 Wave 2 (北陸高等学校（学校7/11）),8dd71b9,3,6,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000172,中村 ジャズ,Batch 14 Wave 2 (北陸高等学校（学校7/11）),8dd71b9,3,5,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000173,寺嶋 恭之介,Batch 14 Wave 3 (北陸高等学校（学校7/11）),8dd71b9,3,6,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000174,岡田 泰希,Batch 14 Wave 3 (北陸高等学校（学校7/11）),8dd71b9,3,6,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000175,藤永 佳昭,Batch 14 Wave 3 (北陸高等学校（学校7/11）),8dd71b9,3,6,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000176,篠山 竜青,Batch 14 Wave 3 (北陸高等学校（学校7/11）),8dd71b9,3,6,2,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000177,髙木 慎哉,Batch 14 Wave 4 (北陸高等学校（学校7/11）),8dd71b9,3,6,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000178,下地 秀一郎,Batch 14 Wave 4 (北陸高等学校（学校7/11）),8dd71b9,3,6,2,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000179,小川 翔矢,Batch 14 Wave 4 (北陸高等学校（学校7/11）),8dd71b9,3,6,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000180,石橋 永遠,Batch 15 Wave 1 (藤枝明誠高等学校（学校8/11）),8dd71b9,3,6,2,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000181,菊地 広人,Batch 15 Wave 1 (藤枝明誠高等学校（学校8/11）),8dd71b9,3,6,2,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000182,藤井 祐眞,Batch 15 Wave 1 (藤枝明誠高等学校（学校8/11）),8dd71b9,3,6,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000183,富田 一成,Batch 15 Wave 1 (藤枝明誠高等学校（学校8/11）),8dd71b9,3,6,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000184,角野 亮伍,Batch 15 Wave 2 (藤枝明誠高等学校（学校8/11）),8dd71b9,3,6,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000185,赤間 賢人,Batch 15 Wave 2 (藤枝明誠高等学校（学校8/11）),8dd71b9,3,6,2,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000186,松村 竜吾,Batch 17 Wave 1 (土浦日本大学高等学校（学校10/11）),8dd71b9,3,6,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000187,落合 知也,Batch 17 Wave 1 (土浦日本大学高等学校（学校10/11）),8dd71b9,3,6,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000188,陳岡 流羽,Batch 17 Wave 1 (土浦日本大学高等学校（学校10/11）),8dd71b9,3,6,2,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000189,中野 広大,Batch 17 Wave 1 (土浦日本大学高等学校（学校10/11）),8dd71b9,3,6,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000190,陳岡 燈生,Batch 17 Wave 2 (土浦日本大学高等学校（学校10/11）),8dd71b9,3,6,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000191,平岩 玄,Batch 17 Wave 2 (土浦日本大学高等学校（学校10/11）),8dd71b9,3,6,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
P000192,多田 武史,Batch 18 Wave 1 (八王子学園八王子高等学校（学校11/11）),8dd71b9,3,6,3,強豪校水平展開シリーズ（学校1〜11）：出身校を起点とするCareer
